,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period,location,lon,lat
8002,5297,12818,TX,New Braunfels,Lina Harms Circulating Library,Comm,NA,1857,1857,NA,NA,0,NA,0,NA,New Braunfels TX,-98.1244531,29.7030024
8003,1885,6460,TX,Nocogdoches,Histrionic and Literary Society,Socl,NA,1875,1875,NA,1875,1750,1875,1750,NA,Nocogdoches TX,-94.6554874,31.6035129
8004,7741,12819,TX,Phantom Hill,Post on the Brazos Library,Garr,NA,1853,1853,NA,NA,0,NA,0,NA,Phantom Hill TX,-99.6907693,32.5013148
8005,7752,6462,TX,Rio Grande,Ringgold Barracks Post Library,Garr,1842,NA,1884,NA,1875,456,1875,456,Antebellum,Rio Grande TX,-94.9768669,30.6187853
8006,6436,6463,TX,Rutersville,Texas Monumental and Military Institute,Mil acad,NA,1850,1857,NA,1850,100,1857,350,NA,Rutersville TX,-96.7972005,29.9477242
8007,1886,6464,TX,San Antonio,Alamo Literary Society,Socl,1872,NA,1875,NA,1875,1700,1875,1700,NA,San Antonio TX,-98.4936282,29.4241219
8008,3498,31039,TX,San Antonio,German Circulating Library,For lang socy,NA,1860,1860,NA,NA,0,NA,0,NA,San Antonio TX,-98.4936282,29.4241219
8009,4270,12821,TX,San Antonio,San Antonio Mannergesang Verein,Music socy,NA,1853,1853,NA,NA,0,NA,0,NA,San Antonio TX,-98.4936282,29.4241219
8010,5296,12820,TX,San Antonio,Julius Behrends Circulating Library,Comm,NA,1854,1855,NA,NA,0,NA,0,NA,San Antonio TX,-98.4936282,29.4241219
8011,6435,6465,TX,Sherman,Austin College,Coll,1850,NA,1884,NA,NA,0,NA,0,Antebellum,Sherman TX,-96.6088805,33.6356618
8012,4272,12822,TX,Sisterdale,Gesangverein,Music socy,NA,1853,1855,NA,NA,0,NA,0,NA,Sisterdale TX,-98.7227939,29.977339
8013,5713,6467,TX,Tehuacana,Trinity University - Philomathean Society,Coll socy,1874,NA,1875,NA,1875,400,1875,400,NA,Tehuacana TX,-96.5469283,31.7412763
8014,5712,6469,TX,Tehuacana,Trinity University - Rateo Genie Society,Coll socy,1872,NA,1884,NA,1875,600,1875,600,NA,Tehuacana TX,-96.5469283,31.7412763
8015,6434,6466,TX,Tehuacana,Trinity University,Coll,1869,NA,1884,NA,1875,2000,1875,2000,NA,Tehuacana TX,-96.5469283,31.7412763
8016,5711,6468,TX,tehuacana,Trinity University - Philodophronian Society,Coll socy,1870,NA,1884,NA,1875,900,1875,900,NA,tehuacana TX,-96.5469283,31.7412763
8017,1887,6470,TX,Tyler,Bowdoin Literary Society,Socl,1871,NA,1875,NA,1875,11257,1875,11257,NA,Tyler TX,-95.3010624,32.3512601
8018,3330,31040,TX,Tyler,Athenaeum,Athen,NA,1860,1860,NA,1860,2200,1860,2200,NA,Tyler TX,-95.3010624,32.3512601
8019,7620,6471,TX,Tyler,Supreme Court,Law state,1854,NA,1875,NA,1875,3000,1875,3000,Antebellum,Tyler TX,-95.3010624,32.3512601
8020,6433,6472,TX,Waco,Waco University,Coll,1861,NA,1875,NA,1870,650,1875,2000,NA,Waco TX,-97.1466695,31.549333
8021,6432,6473,TX,Waxahachie,Marirn? College,Coll,1871,NA,1884,NA,NA,0,NA,0,NA,Waxahachie TX,-96.8483311,32.3865312
8022,2446,12823,UT,Alpine City,Alpine City Library Assoc.,Socl,1866,NA,1866,NA,NA,0,NA,0,NA,Alpine City UT,-111.7779865,40.4532833
8023,2447,12824,UT,American Fork,American Fork Library Assoc.,Socl,1865,NA,1865,NA,NA,0,NA,0,NA,American Fork UT,-111.7957645,40.3768954
8024,4806,6474,UT,American Fork,American Fork Agricultural Society,Agri socl,1858,1867,1867,NA,1867,300,1867,300,Antebellum,American Fork UT,-111.7957645,40.3768954
8025,4807,6475,UT,American Fork,American Fork Gerdeners' Club and Mechanics Institute,Agri socl,1864,1864,1867,NA,1867,251,1867,251,NA,American Fork UT,-111.7957645,40.3768954
8026,7717,12825,UT,Beaver,Post of Beaver,Garr,NA,1875,1875,NA,NA,0,NA,0,NA,Beaver UT,-112.6410518,38.2769149
8027,2448,12826,UT,Beaver City,Beaver City Library Assoc.,Socl,1867,NA,1867,NA,NA,0,NA,0,NA,Beaver City UT,-112.6410518,38.2769149
8028,4808,6476,UT,Cedar City,Cedar City Agricultural and Manufacturing Society,Agri socl,1862,1867,1867,NA,1867,20,1867,20,NA,Cedar City UT,-113.0618931,37.6774769
