"","X","plus","mcmullen","state","locality","name","type","founding_date","em","ml","ce","de","sz","ld","vs","period","location","lon","lat"
"1",6001,3583,4781,"NY","Schenectady","YMCA","YMCA",1858,NA,1875,NA,1875,700,1875,700,"Antebellum","Schenectady NY",-73.9395687,42.8142432
"2",6002,3382,4775,"NY","Schenectady","Schenectady Lyceum and Acad.","Lyceum",NA,1858,1858,NA,1858,375,1858,375,NA,"Schenectady NY",-73.9395687,42.8142432
"3",6003,3584,4782,"NY","Schenectady","YMCA","YMCA",1867,NA,1884,NA,NA,0,NA,0,NA,"Schenectady NY",-73.9395687,42.8142432
"4",6004,5148,95264,"NY","Schenectady","Miller's Public Circulating Library","Comm",NA,1840,1840,NA,NA,0,NA,0,NA,"Schenectady NY",-73.9395687,42.8142432
"5",6005,6031,4778,"NY","Schenectady","Union College - Engineering School","Sci eng coll",1845,NA,1875,NA,1875,3000,1875,3000,"Antebellum","Schenectady NY",-73.9395687,42.8142432
"6",6006,5464,4777,"NY","Schenectady","Union College - Adelphic Society","Coll socy",1797,NA,1884,NA,1857,3550,1875,3000,"Early National","Schenectady NY",-73.9395687,42.8142432
"7",6007,6032,4776,"NY","Schenectady","Union College Library","Coll",1795,NA,1884,NA,1845,13000,1875,12000,"Early National","Schenectady NY",-73.9395687,42.8142432
"8",6008,7597,4774,"NY","Schenectady","Fourth Judicial District","Law state",1866,NA,1884,NA,1875,2500,1875,2500,NA,"Schenectady NY",-73.9395687,42.8142432
"9",6009,5463,4779,"NY","Schenectady","Union College - Philomathean Society","Coll socy",1793,NA,1884,NA,1857,3812,1875,3000,"Early National","Schenectady NY",-73.9395687,42.8142432
"10",6010,471,4780,"NY","Schnectady","Young Men's Assoc.","YMA",NA,1839,1858,NA,1850,3200,1858,3800,NA,"Schnectady NY",-73.9395687,42.8142432
"11",6011,7873,4783,"NY","Schoharie","Schoharie County Law Library","Co law",1840,NA,1884,NA,1875,445,1875,445,"Antebellum","Schoharie NY",-74.3095787,42.6659087
"12",6012,1347,4784,"NY","Scottsville","Scottsville Library","Socl",1839,NA,1840,NA,NA,0,NA,0,"Antebellum","Scottsville NY",-77.7452826,43.0258957
"13",6013,1348,4785,"NY","Seneca","Seneca Union Library","Socl",1806,NA,1806,NA,NA,0,NA,0,"Early National","Seneca NY",-76.8720961,42.7651891
"14",6014,1349,12615,"NY","Setauket","Franklinean Library Company of Setauket","Socl",1806,NA,1807,NA,NA,0,NA,0,"Early National","Setauket NY",-73.1025502,40.9293759
"15",6015,6772,4787,"NY","Sing Sing","Sing Sing State Prison","Prison",1842,NA,1884,NA,1875,3695,1875,3695,"Antebellum","Sing Sing NY",-76.8910257,42.1719586
"16",6016,4615,4786,"NY","Sing Sing","Sing Sing Agricultural and Mechanics Association","Agri socl",1867,NA,1867,NA,1867,240,1867,240,NA,"Sing Sing NY",-76.8910257,42.1719586
"17",6017,4616,4788,"NY","Skeneateles","Skeneateles Farmers' Club","Agri socl",1837,1859,1867,NA,1859,140,1867,200,"Antebellum","Skeneateles NY",-76.4291017,42.947011
"18",6018,8041,4789,"NY","Somers","Public Library","Public",NA,1850,1858,NA,1850,210,1858,210,NA,"Somers NY",-73.7360175,41.2996305
"19",6019,1350,4790,"NY","Somers","Somers Library","Socl",1875,NA,1884,NA,NA,0,NA,0,NA,"Somers NY",-73.7360175,41.2996305
"20",6020,4617,4791,"NY","Springfield","Union Agricultural Society","Agri socl",1858,1867,1867,NA,1867,75,1867,75,"Antebellum","Springfield NY",-74.8534838,42.836184
"21",6021,1351,4792,"NY","Springville","Assoc. Library","Socl",1874,NA,1875,NA,1875,2000,1875,2000,NA,"Springville NY",-78.6672482,42.5083952
"22",6022,1352,4793,"NY","Stamford","Judson Library","Socl",1871,NA,1884,NA,1875,1800,1875,1800,NA,"Stamford NY",-74.614318,42.4073024
"23",6023,6033,4794,"NY","Stanfordville","Christian Biblical Institute","Theo coll",1869,NA,1884,NA,NA,0,NA,0,NA,"Stanfordville NY",-73.7137984,41.8671647
"24",6024,3585,4796,"NY","Stapleton","YMCA","YMCA",1856,NA,1858,NA,1858,300,1858,300,"Antebellum","Stapleton NY",-74.0784785,40.6288778
"25",6025,6908,4795,"NY","Stapleton","Seamen's Retreat Hospital","Asylum",1835,NA,1875,NA,1875,724,1875,724,"Antebellum","Stapleton NY",-74.0784785,40.6288778
"26",6026,8042,4797,"NY","Starkey","Georgic Library","Public",1847,NA,1875,NA,1875,1855,1875,1855,"Antebellum","Starkey NY",-76.9244059,42.5353489
"27",6027,7301,42080,"NY","Staten Island","Parochial Library","Church",NA,NA,NA,NA,NA,0,NA,0,NA,"Staten Island NY",-74.1502007,40.5795317
"28",6028,7772,12565,"NY","Staten Island","Fort Wadsworth","Garr",NA,1870,1870,NA,1870,250,1870,250,NA,"Staten Island NY",-74.1502007,40.5795317
"29",6029,1353,4798,"NY","Stephentown","Stephentown Library Society.","Socl",1796,NA,1796,NA,NA,0,NA,0,"Early National","Stephentown NY",-73.3739973,42.5486929
"30",6030,1354,4799,"NY","Stratford","Stratford Phoenix Library","Socl",1806,NA,1806,NA,NA,0,NA,0,"Early National","Stratford NY",-74.6968146,43.1797921
"31",6031,6036,12616,"NY","Strathmore","Strathmore College Library","Coll",NA,1871,1871,NA,NA,0,NA,0,NA,"Strathmore NY",-73.677352,40.7920453
"32",6032,4614,4746,"NY","Success","Riverhead Agricultural Society","Agri socl",1867,1867,1867,NA,1867,80,1867,80,NA,"Success NY",-75.5039138,43.2333806
"33",6033,6035,4801,"NY","Suspension Bridge","Niagara University","Coll",1856,NA,1884,NA,NA,0,NA,0,"Antebellum","Suspension Bridge NY",-76.455365,42.454947
"34",6034,6034,4800,"NY","Suspension Bridge","De Veaux College","Coll",1857,NA,1870,NA,1870,1206,1870,1206,"Antebellum","Suspension Bridge NY",-76.455365,42.454947
"35",6035,1355,4802,"NY","Sweden","Library Co. of Sweden","Socl",1824,NA,1824,NA,NA,0,NA,0,"Early National","Sweden NY",-77.9510209,43.1726909
"36",6036,8043,4803,"NY","Syracuse","Central Library","Public",1856,NA,1884,NA,1869,7370,1875,13300,"Antebellum","Syracuse NY",-76.1474244,43.0481221
"37",6037,3586,4810,"NY","Syracuse","YMCA","YMCA",1858,NA,1884,NA,1875,1500,1875,1500,"Antebellum","Syracuse NY",-76.1474244,43.0481221
"38",6038,1356,4805,"NY","Syracuse","Franklin Inste","Socl",1849,NA,1859,NA,1849,871,1857,2700,"Antebellum","Syracuse NY",-76.1474244,43.0481221
"39",6039,1357,4806,"NY","Syracuse","","Socl",1837,NA,NA,1845,NA,0,NA,0,"Antebellum","Syracuse NY",-76.1474244,43.0481221
"40",6040,6773,4807,"NY","Syracuse","Onondaga? County Penitentiary","Prison",1853,NA,1875,NA,1875,300,1875,300,"Antebellum","Syracuse NY",-76.1474244,43.0481221
"41",6041,6038,4809,"NY","Syracuse","Syracuse University College of Physicians and Surgeons","Med coll",1872,NA,1884,NA,1875,2000,1875,2000,NA,"Syracuse NY",-76.1474244,43.0481221
"42",6042,6037,4808,"NY","Syracuse","Syracuse University","Coll",1871,NA,1884,NA,1875,8000,1875,8000,NA,"Syracuse NY",-76.1474244,43.0481221
"43",6043,7598,4804,"NY","Syracuse","Court of Appeals","Law state",1849,NA,1884,NA,1875,8500,1875,8500,"Antebellum","Syracuse NY",-76.1474244,43.0481221
"44",6044,472,4811,"NY","Tarrytown","Young Men's Lyceum","YMA",1866,NA,1884,NA,1875,1200,1875,1200,NA,"Tarrytown NY",-73.8587461,41.0762077
"45",6045,4618,4812,"NY","Thorn Hill","Thorn Hill Farmers' Club","Agri socl",1862,1867,1867,NA,1867,30,1867,30,NA,"Thorn Hill NY",-73.2956653,43.523124
"46",6046,1358,4813,"NY","Trenton","Barneveld Library","Socl",1875,NA,1884,NA,NA,0,NA,0,NA,"Trenton NY",-75.2245693,43.228708
"47",6047,473,4823,"NY","Troy","Young Men's Assoc.","YMA",1834,NA,1884,NA,1835,1222,1875,21424,"Antebellum","Troy NY",-73.6917851,42.7284117
"48",6048,1359,4821,"NY","Troy","Troy Library","Socl",1800,NA,NA,1835,NA,0,NA,0,"Early National","Troy NY",-73.6917851,42.7284117
"49",6049,5151,95265,"NY","Troy","Franklin Circulating Library of E. and D.W. Platt","Comm",NA,1823,1823,NA,NA,0,NA,0,NA,"Troy NY",-73.6917851,42.7284117
"50",6050,5150,95266,"NY","Troy","Hosford's Circulating Library","Comm",NA,NA,1832,1832,NA,0,NA,0,NA,"Troy NY",-73.6917851,42.7284117
"51",6051,4619,4817,"NY","Troy","Agricultural Society","Agri socl",1841,1867,1867,NA,1867,200,1867,200,"Antebellum","Troy NY",-73.6917851,42.7284117
"52",6052,3994,4815,"NY","Troy","Lyceum of Natural History","Sci eng socy",NA,1850,1850,NA,NA,0,NA,0,NA,"Troy NY",-73.6917851,42.7284117
"53",6053,6040,4818,"NY","Troy","Rensselaer Polytechnic Institute","Sci eng coll",1824,NA,1884,NA,1875,3000,1875,3000,"Early National","Troy NY",-73.6917851,42.7284117
"54",6054,3995,4819,"NY","Troy","Rensselaer Society of Civil Engineers","Sci eng socy",1873,NA,1884,NA,NA,0,NA,0,NA,"Troy NY",-73.6917851,42.7284117
"55",6055,6039,4820,"NY","Troy","St. Joseph's Provincial Seminary","Theo coll",1864,NA,1884,NA,1875,8000,1875,8000,NA,"Troy NY",-73.6917851,42.7284117
"56",6056,6907,4814,"NY","Troy","Catholic Male Orphan Asylum","Asylum",1869,NA,1884,NA,1875,300,1875,300,NA,"Troy NY",-73.6917851,42.7284117
"57",6057,6881,4822,"NY","Troy","Troy Orphan Asylum","Asylum",1864,NA,1884,NA,1875,450,1875,450,NA,"Troy NY",-73.6917851,42.7284117
"58",6058,6713,4816,"NY","Troy","Marshall Infirmary","Hosp",1855,NA,1884,NA,1875,1500,1875,1500,"Antebellum","Troy NY",-73.6917851,42.7284117
"59",6059,8044,4826,"NY","Utica","City Library","Public",1842,NA,1884,NA,1875,5509,1875,5509,"Antebellum","Utica NY",-75.232664,43.100903
"60",6060,8045,4836,"NY","Utica","Clark Library","Public",1872,NA,1884,NA,NA,0,NA,0,NA,"Utica NY",-75.232664,43.100903
"61",6061,3021,4825,"NY","Utica","Apprentices' Library","Appren",NA,1858,1858,NA,NA,0,NA,0,NA,"Utica NY",-75.232664,43.100903
"62",6062,1361,4831,"NY","Utica","Utica Library","Socl",1825,NA,1858,NA,NA,0,NA,0,"Early National","Utica NY",-75.232664,43.100903
"63",6063,474,4833,"NY","Utica","Young Men's Assoc.","YMA",NA,1840,1858,NA,1850,2200,1858,2200,NA,"Utica NY",-75.232664,43.100903
"64",6064,2671,4830,"NY","Utica","""A theological Library""","Theo coll",NA,1810,1822,NA,1822,124,1822,124,NA,"Utica NY",-75.232664,43.100903
"65",6065,3587,4834,"NY","Utica","YMCA","YMCA",1858,NA,1859,NA,NA,0,NA,0,"Antebellum","Utica NY",-75.232664,43.100903
"66",6066,1360,4824,"NY","Utica","Amicable Library Assoc.","Socl",NA,1858,1858,NA,NA,0,NA,0,NA,"Utica NY",-75.232664,43.100903
"67",6067,6884,4829,"NY","Utica","State Lunatic Asylum","Asylum",1844,NA,1875,NA,1856,4060,1875,4358,"Antebellum","Utica NY",-75.232664,43.100903
"68",6068,6883,4828,"NY","Utica","State Lunatic Asylum","Asylum",NA,1844,1875,NA,1875,2197,1875,2197,NA,"Utica NY",-75.232664,43.100903
"69",6069,6880,4832,"NY","Utica","Utica Orphan Asylum","Asylum",1861,NA,1884,NA,1875,567,1875,567,NA,"Utica NY",-75.232664,43.100903
"70",6070,6906,4827,"NY","Utica","St. Vincent's Protectorate Madonne's Library","Asylum",1866,NA,1884,NA,NA,0,NA,0,NA,"Utica NY",-75.232664,43.100903
"71",6071,5149,12617,"NY","Utica","Merril and Hastings Circulating Library","Comm",NA,1823,1823,NA,NA,0,NA,0,NA,"Utica NY",-75.232664,43.100903
"72",6072,1362,4835,"NY","Vernon","Vernon Library","Socl",1806,NA,1806,NA,NA,0,NA,0,"Early National","Vernon NY",-75.5393442,43.0795135
"73",6073,8046,4837,"NY","Walden","Public Library","Public",1850,NA,1884,NA,1875,300,1875,300,"Antebellum","Walden NY",-74.1884806,41.5612048
"74",6074,1364,4838,"NY","Wappinger's Falls","Wappinger's Falls Circulating Library and Reading Room","Socl",1867,NA,1884,NA,NA,0,NA,0,NA,"Wappinger's Falls NY",-73.91097,41.5964825
"75",6075,8047,12618,"NY","Watertown","Watertown Free Library","Public",NA,1870,1874,NA,NA,0,NA,0,NA,"Watertown NY",-75.9107565,43.9747838
"76",6076,503,99047,"NY","Watertown","Young Men's Assoc.","YMA",NA,1841,1841,NA,NA,0,NA,0,NA,"Watertown NY",-75.9107565,43.9747838
"77",6077,3588,4840,"NY","Watertown","YMCA","YMCA",1869,NA,1884,NA,1875,300,1875,300,NA,"Watertown NY",-75.9107565,43.9747838
"78",6078,5152,4839,"NY","Watertown","Sterling and Mosher's Circulating Library","Comm",1867,NA,1875,NA,1875,1800,1875,1800,NA,"Watertown NY",-75.9107565,43.9747838
"79",6079,7874,4842,"NY","Watkins","Schuyler County Law Library","Co law",1855,NA,1875,NA,1875,500,1875,500,"Antebellum","Watkins NY",-73.9053772,40.6598771
"80",6080,1365,4841,"NY","Watkins","LibraryAssoc.","Socl",1871,NA,1884,NA,NA,0,NA,0,NA,"Watkins NY",-73.9053772,40.6598771
"81",6081,7302,42081,"NY","Weestchester","Parochial Library","Church",NA,NA,NA,NA,NA,0,NA,0,NA,"Weestchester NY",-73.7948516,41.1220194
"82",6082,1366,4843,"NY","Wellsville","Circulating Library","Socl",1869,NA,1884,NA,NA,0,NA,0,NA,"Wellsville NY",-77.9480575,42.1220124
"83",6083,1367,4845,"NY","West Hennietta","Library Co. of West Henrietta","Socl",1834,NA,1834,NA,NA,0,NA,0,"Antebellum","West Hennietta NY",-77.6632587,43.0384885
"84",6084,1368,4846,"NY","West Mendon","Library Co. of West Mendon","Socl",1824,NA,1824,NA,NA,0,NA,0,"Early National","West Mendon NY",-77.5048696,42.9976979
"85",6085,5480,95112,"NY","West Point","U. S. Military Academy - Dialectic Society","Coll socy",NA,1855,1855,NA,NA,0,NA,0,NA,"West Point NY",-73.9559721,41.3914827
"86",6086,5977,4847,"NY","West Point","U.S. Military Academy","Mil acad",1802,NA,1884,NA,1849,15000,1875,25000,"Early National","West Point NY",-73.9559721,41.3914827
"87",6087,7775,4848,"NY","West Troy","Watervliet? Arsenal Post Library","Garr",1840,NA,1884,NA,1875,618,1875,618,"Antebellum","West Troy NY",-73.6917851,42.7284117
"88",6088,1369,12619,"NY","Westchester","Westchester Library Assoc.","Socl",NA,1873,1873,NA,NA,0,NA,0,NA,"Westchester NY",-73.7948516,41.1220194
"89",6089,6905,4849,"NY","Westchester","New York Catholic Protectory","Asylum",1873,NA,1884,NA,1875,2410,1875,2410,NA,"Westchester NY",-73.7948516,41.1220194
"90",6090,7773,12564,"NY","Westchester County","Fort Schuyler","Garr",NA,1870,1870,NA,1870,800,1870,800,NA,"Westchester County NY",-73.7948516,41.1220194
"91",6091,2660,4850,"NY","Wheatland","","Agri socl",1805,NA,1871,NA,NA,0,NA,0,"Early National","Wheatland NY",-77.8183052,43.0134418
"92",6092,7875,4852,"NY","White Plains","Westchester County Law Library","Co law",1855,NA,1884,NA,NA,0,NA,0,"Antebellum","White Plains NY",-73.7629097,41.0339862
"93",6093,3381,4851,"NY","White Plains","Lyceum Library","Lyceum",1871,NA,1884,NA,1875,550,1875,550,NA,"White Plains NY",-73.7629097,41.0339862
"94",6094,6722,12620,"NY","White Plains","New York Hospital - Westchester Division Library","Hosp",1821,NA,1957,NA,NA,0,NA,0,"Early National","White Plains NY",-73.7629097,41.0339862
"95",6095,4620,4853,"NY","White Plains","White Plains Horicultural Society","Agri socl",1855,1859,1859,NA,1859,50,1859,50,"Antebellum","White Plains NY",-73.7629097,41.0339862
"96",6096,6875,4854,"NY","Willard","Willard Asylum for the Insane","Asylum",1870,NA,1884,NA,1875,243,1875,243,NA,"Willard NY",-76.8685616,42.6820889
"97",6097,7782,4855,"NY","Willets Point","Battalion Library in N.Y. Harbor","Garr",1867,NA,NA,1901,1875,2300,1875,2300,NA,"Willets Point NY",-73.840436,40.7606911
"98",6098,8048,4856,"NY","Yonkers","Free Reading Room and Library","Public",1868,NA,1875,NA,1875,400,1875,400,NA,"Yonkers NY",-73.8987469,40.9312099
"99",6099,502,12621,"NY","Yonkers","Yonkers Young Men's Assoc.","YMA",1850,NA,1850,NA,NA,0,NA,0,"Antebellum","Yonkers NY",-73.8987469,40.9312099
"100",6100,3380,4857,"NY","Yonkers","Lyceum Library","Lyceum",1868,NA,1884,NA,1875,1000,1875,1000,NA,"Yonkers NY",-73.8987469,40.9312099
"101",6101,1370,4858,"NY","Yorkville","Yorkville Library Assoc.","Socl",NA,1858,NA,NA,NA,0,NA,0,NA,"Yorkville NY",-75.2709991,43.1128475
"102",6102,5883,4913,"OH","Ada","Philomatheau Library","Coll socy",1871,NA,1871,NA,NA,0,NA,0,NA,"Ada OH",-83.8227148,40.7694969
"103",6103,8049,4918,"OH","Akron","Public Library","Public",1874,NA,1875,NA,1875,6080,1875,6080,NA,"Akron OH",-81.5190053,41.0814447
"104",6104,3079,4917,"OH","Akron","Mechanics' Library","Mech",1846,NA,1858,NA,1858,250,1858,250,"Antebellum","Akron OH",-81.5190053,41.0814447
"105",6105,1893,12663,"OH","Akron","Library Assoc.","Socl",1866,NA,NA,1874,NA,0,NA,0,NA,"Akron OH",-81.5190053,41.0814447
"106",6106,3435,4915,"OH","Akron","Lyceum and Library Assoc.","Lyceum",1834,NA,NA,1844,NA,0,NA,0,"Antebellum","Akron OH",-81.5190053,41.0814447
"107",6107,6607,4916,"OH","Akron","Buchtel College - Bierce Library","Coll",1871,NA,1884,NA,1875,1000,1875,1000,NA,"Akron OH",-81.5190053,41.0814447
"108",6108,1894,4919,"OH","Alliance","Linnaean Library","Socl",1854,NA,1875,NA,1875,1400,1875,1400,"Antebellum","Alliance OH",-81.1059309,40.9153362
"109",6109,4676,5105,"OH","Alliance","Cope's Run Agricultural Society","Agri socl",1862,1867,1867,NA,1867,12,1867,12,NA,"Alliance OH",-81.1059309,40.9153362
"110",6110,1896,4921,"OH","Amesville","""Coonskin Library""","Socl",1803,NA,NA,1860,1803,57,1803,57,"Early National","Amesville OH",-81.9556956,39.4006285
"111",6111,1895,4920,"OH","Amherst","South Amherst Library","Socl",1865,NA,1884,NA,NA,0,NA,0,NA,"Amherst OH",-82.2223774,41.3978217
"112",6112,1897,4922,"OH","Andover","Free discussion Library of Andover","Socl",1834,NA,1834,NA,NA,0,NA,0,"Antebellum","Andover OH",-80.572296,41.6067211
"113",6113,1898,4924,"OH","Ashtabula","Public Library","Socl",1837,NA,1884,NA,NA,0,NA,0,"Antebellum","Ashtabula OH",-80.7898089,41.8650534
"114",6114,5322,4923,"OH","Ashtabula","Dick's Circulating Library","Comm",1870,NA,1884,NA,NA,0,NA,0,NA,"Ashtabula OH",-80.7898089,41.8650534
"115",6115,1899,4925,"OH","Astabula","Ashtabula Social Library Assoc.","Socl",1830,NA,1884,NA,1875,1192,1875,1192,"Antebellum","Astabula OH",-80.7898089,41.8650534
"116",6116,1900,4927,"OH","Athens","Library Soc.","Socl",1831,NA,1831,NA,NA,0,NA,0,"Antebellum","Athens OH",-82.1012554,39.3292396
"117",6117,5881,4930,"OH","Athens","Ohio University - Philomatheau","Coll socy",NA,1856,1865,NA,1856,1500,1865,1500,NA,"Athens OH",-82.1012554,39.3292396
"118",6118,5882,4929,"OH","Athens","The University of Ohio - Athenian Literary Society","Coll socy",1821,NA,1865,NA,1850,1500,1865,1500,"Early National","Athens OH",-82.1012554,39.3292396
"119",6119,7043,4926,"OH","Athens","Asylum for the Insane","Asylum",1874,NA,1884,NA,NA,0,NA,0,NA,"Athens OH",-82.1012554,39.3292396
"120",6120,6608,4928,"OH","Athens","Ohio University","Coll",1820,NA,1884,NA,1845,2500,1875,7500,"Early National","Athens OH",-82.1012554,39.3292396
"121",6121,3926,4931,"OH","Athens","Young People's Christian Assoc.","Rel socy",1865,NA,1884,NA,NA,0,NA,0,NA,"Athens OH",-82.1012554,39.3292396
"122",6122,2738,4932,"OH","Aurora","Farmers' and Mechanics' Library Assoc.","Agri socl",1833,NA,1833,NA,NA,0,NA,0,"Antebellum","Aurora OH",-81.3453858,41.3175549
"123",6123,1901,4933,"OH","Austinburg","Austinburg Social Library Assoc.","Socl",1831,NA,1831,NA,NA,0,NA,0,"Antebellum","Austinburg OH",-80.8547589,41.7719863
"124",6124,1902,4934,"OH","Barlow","Barlow Library Soc.","Socl",1829,NA,1829,NA,NA,0,NA,0,"Antebellum","Barlow OH",-81.6648516,39.3986852
"125",6125,1903,4935,"OH","Bedford","Bedford Library Co.","Socl",1836,NA,1836,NA,NA,0,NA,0,"Antebellum","Bedford OH",-81.5365094,41.3931096
"126",6126,1904,4936,"OH","Bellefontaine","Brown Library Assoc.","Socl",1871,NA,1875,NA,1875,1200,1875,1200,NA,"Bellefontaine OH",-83.7596557,40.3611643
"127",6127,5321,4938,"OH","Bellevue","Goodsen's ? Circulating Library","Comm",NA,1875,1875,NA,1875,500,1875,500,NA,"Bellevue OH",-82.8415763,41.2736647
"128",6128,1905,4937,"OH","Bellville","Bellville Library Co.","Socl",1836,NA,1836,NA,NA,0,NA,0,"Antebellum","Bellville OH",-82.5107222,40.6200588
"129",6129,1906,4960,"OH","Belpre","""Putnam Family Library""","Socl",1796,NA,NA,1816,NA,0,NA,0,"Early National","Belpre OH",-81.5729029,39.2739639
"130",6130,7048,4944,"OH","Berea","German Methodist Orphan Asylum","Asylum",1866,NA,1875,NA,1875,300,1875,300,NA,"Berea OH",-81.8543026,41.3661614
"131",6131,6609,4939,"OH","Berea","Baldwin University","Coll",1850,NA,1884,NA,1870,1000,1875,2000,"Antebellum","Berea OH",-81.8543026,41.3661614
"132",6132,6610,4945,"OH","Berea","German Wallace College","Coll",1866,NA,1884,NA,1870,400,1875,550,NA,"Berea OH",-81.8543026,41.3661614
"133",6133,5879,4941,"OH","Berea","Baldwin University - Society Library","Coll socy",NA,1875,1875,NA,NA,0,NA,0,NA,"Berea OH",-81.8543026,41.3661614
"134",6134,5880,4940,"OH","Berea","Baldwin University - Phrenocosmian","Coll socy",1857,NA,1884,NA,NA,0,NA,0,"Antebellum","Berea OH",-81.8543026,41.3661614
"135",6135,5878,4942,"OH","Berea","Baldwin University - Society Library","Coll socy",NA,1875,1875,NA,NA,0,NA,0,NA,"Berea OH",-81.8543026,41.3661614
"136",6136,5876,4946,"OH","Berea","German Wallace College - Society Library","Coll socy",NA,1875,1875,NA,NA,0,NA,0,NA,"Berea OH",-81.8543026,41.3661614
"137",6137,5875,4947,"OH","Berea","German Wallace College - Society Library","Coll socy",NA,1875,1875,NA,NA,0,NA,0,NA,"Berea OH",-81.8543026,41.3661614
"138",6138,5877,4943,"OH","Berea","Baldwin University - Society Library","Coll socy",NA,1875,1875,NA,NA,0,NA,0,NA,"Berea OH",-81.8543026,41.3661614
"139",6139,2736,4948,"OH","Berkshire","Farmers' and Mechanics' Library Society. (Delaware Co.)","Agri socl",1832,NA,1832,NA,NA,0,NA,0,"Antebellum","Berkshire OH",-82.9087916,40.2653399
"140",6140,1907,4949,"OH","Blendon","Blendon Library Soc.","Socl",1837,NA,1837,NA,NA,0,NA,0,"Antebellum","Blendon OH",-82.8694464,40.1150389
"141",6141,6611,4950,"OH","Blendon","Central College","Coll",1843,NA,1858,NA,1850,550,1858,600,"Antebellum","Blendon OH",-82.8694464,40.1150389
"142",6142,1908,4951,"OH","Bloomfield","Bloomfield Social Library Society","Socl",1826,NA,1826,NA,NA,0,NA,0,"Early National","Bloomfield OH",-80.8765205,41.4580972
"143",6143,1910,4953,"OH","Bowling Green","Library Assoc.","Socl",1875,NA,1884,NA,NA,0,NA,0,NA,"Bowling Green OH",-83.6513229,41.3747744
"144",6144,1912,4955,"OH","Brecksville","Columbian Library Soc.","Socl",1830,NA,1830,NA,NA,0,NA,0,"Antebellum","Brecksville OH",-81.6267904,41.3197763
"145",6145,1911,4954,"OH","Broceville","Broceville Library Company","Socl",1837,NA,1837,NA,NA,0,NA,0,"Antebellum","Broceville OH",-84.4113366,39.8367207
"146",6146,1913,4956,"OH","Brookfield","Brookfield Social Library Society","Socl",1827,NA,1827,NA,NA,0,NA,0,"Early National","Brookfield OH",-80.5578504,41.2406117
"147",6147,1914,4957,"OH","Brooklyn","Brooklyn Library Company","Socl",1836,NA,1836,NA,NA,0,NA,0,"Antebellum","Brooklyn OH",-81.7512107,41.4301349
"148",6148,1915,4958,"OH","Bucyous","Bucyous Library","Socl",1857,NA,1859,NA,1858,800,1858,800,"Antebellum","Bucyous OH",-82.9754649,40.8083909
"149",6149,1916,4959,"OH","Buffalo","Buffalo Library Soc.","Socl",1827,NA,1827,NA,NA,0,NA,0,"Early National","Buffalo OH",-81.5207692,39.9158025
"150",6150,1917,4961,"OH","Burlington","Burlington Library Assoc.","Socl",1840,NA,1840,NA,NA,0,NA,0,"Antebellum","Burlington OH",-82.5357127,38.4073044
"151",6151,1918,4962,"OH","Burton","The Village Library Society of Burton","Socl",1814,NA,1814,NA,NA,0,NA,0,"Early National","Burton OH",-81.1450995,41.4706089
"152",6152,2003,5224,"OH","Butler County","Liberty Library Soc.","Socl",1827,NA,1827,NA,NA,0,NA,0,"Early National","Butler County OH",-84.5222189,39.440463
"153",6153,1919,4963,"OH","Cadiz","Cadiz Library Assoc.","Socl",1857,NA,1859,NA,1858,274,1858,274,"Antebellum","Cadiz OH",-80.9967628,40.2728452
"154",6154,3669,4965,"OH","Canton","YMCA","YMCA",1867,NA,1875,NA,1875,1546,1875,1546,NA,"Canton OH",-81.378447,40.7989473
"155",6155,1920,4964,"OH","Canton","Citizen's Library","Socl",NA,1858,1859,NA,NA,0,NA,0,NA,"Canton OH",-81.378447,40.7989473
"156",6156,5301,95278,"OH","Canton","Peter Kaufmann' Circulating Library","Comm",NA,NA,NA,NA,NA,0,NA,0,NA,"Canton OH",-81.378447,40.7989473
"157",6157,1921,4966,"OH","Carlisle","Franklin Library Assoc. Of Carlisle and Elyria, Lorain County","Socl",1841,NA,1841,NA,NA,0,NA,0,"Antebellum","Carlisle OH",-84.3202194,39.5820026
"158",6158,7033,4967,"OH","Carthage","Longview Library","Asylum",1860,NA,1884,NA,1875,2087,1875,2087,"Antebellum","Carthage OH",-84.485507,39.1955782
"159",6159,6612,4968,"OH","Carthagena","Theological Seminary of St. Charles Borromeo","Theo coll",1864,NA,1875,NA,1870,1400,1875,5000,NA,"Carthagena OH",-84.5621823,40.4378453
"160",6160,2032,5284,"OH","Cass","New Orange Library Soc. Of Cass","Socl",1843,NA,1843,NA,NA,0,NA,0,"Antebellum","Cass OH",-82.6159271,40.9541033
"161",6161,3078,4969,"OH","Chagrin Falls","Mechanics' Library Assoc.","Mech",1842,NA,1842,NA,NA,0,NA,0,"Antebellum","Chagrin Falls OH",-81.3910999,41.4298516
"162",6162,5312,12664,"OH","Chagrin Falls","Aristarchus Champion's Circulating Library","Comm",1847,NA,1847,NA,NA,800,NA,0,"Antebellum","Chagrin Falls OH",-81.3910999,41.4298516
"163",6163,1892,4914,"OH","Champaign County","Addison Library Assoc.","Law socl",1840,NA,1840,NA,NA,0,NA,0,"Antebellum","Champaign County OH",-83.804868,40.1025817
"164",6164,1922,4970,"OH","Champeon","Champeon Library Assoc.","Socl",1844,NA,1844,NA,NA,0,NA,0,"Antebellum","Champeon OH",-80.8498076,41.3000564
