,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
8055,2890,12845,UT,Salt Lake City,Ladies Library Assoc.,Ladies,1872,NA,NA,1876,1872,400,1872,400,NA
8056,2468,6493,UT,Salt Lake City,Twelfth Ward Library,Socl,NA,1855,1855,NA,NA,0,NA,0,NA
8057,3815,12847,UT,Salt Lake City,School Teachers' Assoc.,Socy,NA,1862,1862,NA,NA,0,NA,0,NA
8058,6373,6491,UT,Salt Lake City,University of Deseret? (became University of Utah),Coll,1869,NA,1884,NA,1875,2394,1875,2394,NA
8059,4122,6490,UT,Salt Lake City,Fireman's Library,Fire,1871,NA,1884,NA,NA,0,NA,0,NA
8060,4503,12844,UT,Salt Lake City,Historian's Library,Hist socl,NA,1862,1862,NA,NA,0,NA,0,NA
8061,7432,12848,UT,Salt Lake City,Sevent Library,Church,NA,1862,1864,NA,NA,0,NA,0,NA
8062,4524,12849,UT,Salt Lake City,Typographical Assoc. Library,Sci eng socy,NA,1862,1862,NA,NA,0,NA,0,NA
8063,4822,12843,UT,Salt Lake City,Domestic Gardeners Club,Agri socl,NA,1862,1862,NA,NA,0,NA,0,NA
8064,4523,6489,UT,Salt Lake City,Deseret Museum,Sci eng socy,1870,NA,1884,NA,NA,0,NA,0,NA
8065,7718,6478,UT,Salt Lake City,Fort Douglas Post Library,Garr,1862,NA,1884,NA,NA,0,NA,0,NA
8066,4208,12846,UT,Salt Lake City,Masonic Library,Frat,1873,NA,1873,NA,NA,0,NA,0,NA
8067,4818,6494,UT,Spanish Forks,Spanish Forks Gardeners' Club,Agri socl,1864,1867,1867,NA,1867,15,1867,15,NA
8068,2466,12850,UT,Springville,,Socl,NA,1862,1862,NA,NA,0,NA,0,NA
8069,2463,12842,UT,St. George,Saint George Library Assoc. Inc.,Socl,NA,1862,1864,NA,NA,0,NA,0,NA
8070,2464,6487,UT,St. George,Library Assoc.,Socl,1873,NA,1875,NA,1875,200,1875,200,NA
8071,4819,6495,UT,St. George,St. George Horicultural and Pomological Society,Agri socl,1865,1867,1867,NA,1867,40,1867,40,NA
8072,2469,12851,UT,Tooele,Tooele Library Assoc.,Socl,1864,NA,1864,NA,NA,0,NA,0,NA
8073,4820,6496,UT,Toquersville,Gardners' Assoc.,Agri socl,1865,1867,1867,NA,1867,12,1867,12,NA
8074,4821,6497,UT,Washington,Washington County Gardeners' Club and Library Assoc.,Agri socl,1864,1867,1867,NA,1867,28,1867,28,NA
8075,7757,31042,VA,,Fort Wool,Garr,NA,NA,NA,NA,NA,0,NA,0,NA
8076,7761,12857,VA,,Soldier's Library - Volunteer Infantry,Garr,1864,NA,1864,NA,NA,0,NA,0,NA
8077,7756,6627,VA,,Fort Monroe Post Library,Garr,1865,NA,1884,NA,1875,2000,1875,2000,NA
8078,5565,6606,VA,Abington,Martha Washington College - Enterpean Society,Coll socy,1870,NA,1884,NA,NA,0,NA,0,NA
8079,3637,6612,VA,Alexandria,YMCA,YMCA,1853,NA,1857,NA,1857,300,1857,300,Antebellum
8080,1650,6608,VA,Alexandria,Alexandria Library,Socl,1794,NA,1884,NA,1856,4481,1875,4271,Early National
8081,5265,6611,VA,Alexandria,John Lockwood Circulating Library,Comm,NA,1792,1792,NA,NA,0,NA,0,NA
8082,6146,6616,VA,Ashland,Randolph Macon College and Society Library,Coll,1834,NA,1884,NA,1834,2000,1875,10000,Antebellum
8083,3795,6613,VA,Aylett's,Mt. Pisgah Alumni Library,Socy,1875,NA,1884,NA,NA,0,NA,0,NA
8084,1651,6614,VA,Berryville,Library Assoc.,Socl,NA,1858,1858,NA,1858,600,1858,600,NA
8085,6166,6615,VA,Blacksburg,Virginia Agricultural and Mechanical College,Agri coll,1872,NA,1884,NA,1875,600,1875,600,NA
8086,5567,6618,VA,Boydtown,Randolph Macon College - Washington Society,Coll socy,NA,1858,1886,NA,1858,200,1858,2000,NA
8087,5566,6617,VA,Boydtown,Randolph Macon College - Franklin Society,Coll socy,NA,1858,NA,1886,1858,2300,1858,2300,NA
8088,7382,42117,VA,Bruton,Parochial Library,Church,NA,NA,NA,NA,NA,0,NA,0,NA
8089,3407,6619,VA,Charlotesville,Charlottsville Lyceum,Lyceum,NA,1837,1875,NA,1875,800,1875,800,NA
8090,1652,95044,VA,Charlottesville,Albemarle Library Society,Socl,NA,1823,1823,NA,NA,0,NA,0,NA
8091,6147,6620,VA,Charlottesville,University of Virginia,Coll,1825,NA,1884,NA,1834,8000,1875,40000,Early National
8092,6163,6621,VA,Charlottesville?,University of Virginia Medical School,Med coll,1825,NA,1870,NA,NA,0,1870,35000,Early National
8093,5264,95274,VA,Christiansburg,Christiansburg Circulating Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA
8094,4653,6605,VA,Dimveddie?,Union Agricultural Society of Virginia and South Carolina,Agri socl,1854,1859,1859,NA,1859,150,1859,150,Antebellum
8095,6148,6622,VA,emory,Emory and Henry College Library,Coll,1839,NA,1884,NA,1845,2800,1875,4580,Antebellum
8096,5568,6623,VA,Emory,Emory and Henry College - Calliopean Society,Coll socy,1838,NA,1884,NA,1850,2717,1872,1000,Antebellum
8097,5569,6624,VA,emory,Emory and Henry College - Hermesian Society,Coll socy,1838,NA,1884,NA,1849,8000,1857,2693,Antebellum
8098,6157,6625,VA,Fairfax,New Hampton Theological Seminary,Theo coll,1825,NA,1870,NA,1849,4955,1870,3000,Early National
8099,6158,6609,VA,Fairfax,Episcopal Theological Seminary of Virginia,Theo coll,1823,NA,1884,NA,1834,2000,1875,10000,Early National
8100,5570,6610,VA,Fairfax County,Episcopal Theological Seminary - Rhetorical Society,Coll socy,NA,1850,1850,NA,1850,200,1850,200,NA
8101,6167,6626,VA,Fort Monroe,Artillary School U.S. Army,Mil acad,1824,NA,1884,NA,1875,2500,1875,2500,Early National
8102,3638,6631,VA,Frederickburg,YMCA,YMCA,1856,NA,1859,NA,1858,550,1859,550,Antebellum
8103,5266,6630,VA,Fredricksburg,William Fairfax Gray's Circulating Library,Comm,1822,NA,1822,NA,NA,0,NA,0,Early National
8104,5267,6629,VA,Fredricksburg,Peter B. Cottom and John Stewart Circulating Library,Comm,NA,1813,NA,1813,NA,0,NA,0,NA
8105,1653,31043,VA,Front Royal,Front Royal Librarian Society,Socl,NA,1799,1799,NA,NA,0,NA,0,NA
8106,7087,31044,VA,Gate City,Scott County Court Library,Law,NA,1860,1860,NA,1870,350,1870,350,NA
8107,7383,42118,VA,Germanna,Parochial Library,Church,1735,NA,1735,NA,NA,0,NA,0,Colonial
8108,6159,6635,VA,Hampden Sidney,Union Theological Seminary,Theo coll,1825,NA,1884,NA,1830,2000,1875,10000,Early National
8109,6149,6632,VA,Hampden Sydney,Hampden Sydney College,Coll,1783,NA,1884,NA,1849,8000,1875,2000,Early National
8110,5571,6633,VA,Hampden Sydney,Hampden Sydney College - Philanthropic Society,Coll socy,1807,NA,1884,NA,1855,2765,1875,2500,Early National
8111,5572,6634,VA,Hampden Sydney,Hampden Sydney College - Union Society,Coll socy,1789,NA,1884,NA,1857,3500,1857,3500,Early National
8112,5573,6636,VA,Hampden Sydney,Union Theological Seminary - Society of Inquiry,Coll socy,NA,1850,1850,NA,1850,200,1850,200,NA
8113,6156,6637,VA,Hampton,Chesapeake Female College,Coll,NA,1858,1858,NA,1858,3000,1858,3000,NA
8114,7001,6638,VA,Hampton,National Military Home Southern Branch,Asylum,1871,NA,1884,NA,1875,1171,1875,1171,NA
8115,1654,6639,VA,Harrisonburg,Rockingham Library Assoc.,Socl,1867,NA,1900,NA,1875,375,1875,375,NA
8116,1655,31045,VA,Harrisonburg,Rockingham Library Co.,Socl,1806,NA,1818,NA,NA,0,NA,0,Early National
8117,1656,31046,VA,Hillsborough (now Hillsboro),Hillsborough Library Co.,Socl,1815,NA,1825,NA,NA,0,NA,0,Early National
8118,6150,31047,VA,Hollins,Valley Union Seminary,Coll,1846,NA,1989,NA,NA,0,NA,0,Antebellum
8119,4470,31048,VA,Jeffersonville (now Tazemell),Jeffersonville Historical Society,Hist socl,NA,NA,NA,NA,NA,0,NA,0,NA
8120,7384,42119,VA,Kikotan,Parochial Library,Church,1704,NA,1704,NA,NA,0,NA,0,Colonial
8121,7385,42113,VA,King George's Co.,Parochial Library,Church,1762,NA,1762,NA,NA,0,NA,0,Colonial
8122,7386,42120,VA,Leeds,Parochial Library,Church,1764,NA,1764,NA,NA,0,NA,0,Colonial
8123,1657,12858,VA,Lewisburg,Lewisburg Circ. Library,Socl,1822,NA,1823,NA,NA,0,NA,0,Early National
8124,1659,6642,VA,Lexington,Lexington Library Company,Socl,NA,1858,1858,NA,NA,0,NA,0,NA
8125,1658,6641,VA,Lexington,Franklin Society,Socl,1813,NA,1884,NA,1875,5000,1875,5000,Early National
8126,5576,6647,VA,Lexington,Washington College - Graham Philanthropic Society,Coll socy,1809,NA,1875,NA,1850,1800,1875,2500,Early National
8127,6168,6643,VA,Lexington,Virginia Military Institute,Mil acad,1841,NA,1884,NA,1849,2500,1875,5000,Antebellum
8128,6151,6646,VA,Lexington,Washington College Library,Coll,1776,NA,1884,NA,1845,2700,1875,11000,Early National
8129,5575,6645,VA,Lexington,Virginia Military Institute - Virginia Dialectic Society,Coll socy,1848,NA,1854,NA,1854,272,1854,272,Antebellum
8130,5577,6648,VA,Lexington,Washington Colelge - Washington Literary society,Coll socy,1812,NA,1875,NA,1850,1800,1875,2500,Early National
8131,5574,6644,VA,Lexington,Virginia Military Institute - Society of Cadets,Coll socy,1840,NA,1855,NA,1855,600,1855,600,Antebellum
8132,5268,31049,VA,Lynchburg,Owen Family Circulating Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA
8133,7758,12859,VA,Lynchburg,Soldier's Library,Garr,NA,1864,1864,NA,NA,0,NA,0,NA
8134,1660,6649,VA,Madison,Madison Library Assoc.,Socl,1842,NA,1850,NA,1850,353,1850,353,Antebellum
8135,7388,31050,VA,Madison,Presbyterian Church,Church,NA,1850,1850,NA,1850,250,1850,250,NA
8136,7387,42121,VA,Manicantown,Parochial Library,Church,NA,NA,NA,NA,NA,0,NA,0,NA
8137,4341,6651,VA,New Market,Lee Literary Society,Lit socy,1870,NA,1884,NA,1875,850,1875,850,NA
8138,1661,6652,VA,Norfolk,Norfolk Library Assoc.,Socl,1870,NA,1884,NA,1875,3400,1875,3400,NA
