,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period
4003,8696,52459,MI,Milan,Milan Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4004,8697,52460,MI,Milford,Milford Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA
4005,8698,52461,MI,Milton,Milton Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4006,8699,52462,MI,Monguagon,Monguagon Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA
4007,8702,3498,MI,Monroe,Frenchtown Township Library,Town,1851,NA,1884,NA,NA,0,NA,0,Antebellum
4008,8127,3500,MI,Monroe,Public Library,Public,1828,NA,1990,NA,1850,1500,1875,1672,Early National
4009,8700,3499,MI,Monroe,Monroe Township Library,Town,1849,NA,1884,NA,NA,0,NA,0,Antebellum
4010,2765,30912,MI,Monroe,,Rel socl,1849,NA,1849,NA,NA,0,NA,0,Antebellum
4011,8701,52463,MI,Monroe City,Monroe City,Town,NA,1855,1857,NA,NA,0,NA,0,NA
4012,8703,52464,MI,Montcalm,Montcalm Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA
4013,8704,52465,MI,Monterey,Monterey Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4014,8705,52466,MI,Montrose,Montrose Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4015,8706,52467,MI,Moscow,Moscow Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4016,8707,52468,MI,Mottville,Mottville Township Library,Town,NA,1858,1858,NA,NA,0,NA,0,NA
4017,8128,30914,MI,Mount Clemens,School District Public Library,Public,1865,NA,1989,NA,NA,0,NA,0,NA
4018,8708,52469,MI,Mount Morris,Mount Morris Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4019,8709,52470,MI,Mundy,Mundy Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4020,8711,52472,MI,Muskegon,Muskegon Township Library,Town,NA,1855,1857,NA,NA,0,NA,0,NA
4021,8710,52471,MI,Muskegon,Muskegon Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA
4022,2270,3501,MI,Muskegon,Library Assoc.,Socl,1869,NA,1876,NA,1875,400,1875,400,NA
4023,8712,52473,MI,Mussey,Mussey Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA
4024,8713,52474,MI,Nankin,Nankin Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4025,8714,52475,MI,Napoleon,Napoleon Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4026,8129,3502,MI,Neguanee,Public Library,Public,1860,NA,1884,NA,NA,0,NA,0,Antebellum
4027,8715,52476,MI,Nelson,Nelson Township Library,Town,NA,1857,1860,NA,NA,0,NA,0,NA
4028,8718,52479,MI,New Buffalo,New Buffalo Township Library,Town,NA,1855,1855,NA,NA,0,NA,0,NA
4029,8721,52482,MI,New Haven,New Haven Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4030,8720,52481,MI,New Haven,New Haven Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA
4031,8717,52478,MI,Newark,Newark Township Library,Town,NA,1857,1858,NA,NA,0,NA,0,NA
4032,8716,52477,MI,Newark,Newark Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4033,8719,52480,MI,Newburgh,Newburgh Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4034,8722,52483,MI,Newton,Newton Township Library,Town,NA,1855,1858,NA,NA,0,NA,0,NA
4035,8724,52485,MI,Niles,Niles Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA
4036,8723,52484,MI,Niles City,Niles City Township Library,Town,NA,1860,1860,NA,NA,0,NA,0,NA
4037,8725,52486,MI,Noble,Noble Township Library,Town,NA,1855,1860,NA,NA,0,NA,0,NA
4038,8726,52487,MI,North Branch,North Branch,Town,NA,1860,1860,NA,NA,0,NA,0,NA
