,plus,mcmullen,state,locality,name,type,founding_date,em,ml,ce,de,sz,ld,vs,period,location,lon,lat
2001,3732,2489,MA,Boston,Caledonian Club,Socy,1853,NA,1875,NA,1875,300,1875,300,Antebellum,Boston MA,-71.0588801,42.3600825
2002,4259,596,MA,Boston,Harvard Musical Assoc.,Music socy,NA,1851,1859,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2003,511,229,MA,Boston,Columbian Social Library,Socl,NA,1815,1819,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2004,2627,2569,MA,Boston,Young Men's Christian Union,Rel socl,1851,NA,1884,NA,1857,2083,1875,3635,Antebellum,Boston MA,-71.0588801,42.3600825
2005,508,12248,MA,Boston,Second Social Library,Socl,NA,1807,1825,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2006,2631,95060,MA,Boston,Architectural Library of Boston,Sci eng socy,1809,NA,1809,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2007,3301,2501,MA,Boston,Dorchester Athenaeum,Athen,1857,NA,1875,NA,1875,3657,1875,3657,Antebellum,Boston MA,-71.0588801,42.3600825
2008,2630,95061,MA,Boston,Bowditch Library,Sci gov,NA,1841,1841,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2009,510,236,MA,Boston,Fraternal Library Assoc.,Socl,NA,1806,1806,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2010,496,95100,MA,Boston,Young Men's Society,YMA,NA,1833,1833,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2011,509,12251,MA,Boston,Social Library,Socl,NA,1823,1831,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2012,497,95099,MA,Boston,Young Men's Christian Union,YMCA,1852,NA,1855,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2013,498,95098,MA,Boston,Boston Universalist Young Men's Institute,YMA,NA,1837,1837,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2014,2612,2506,MA,Boston,General Theological Library,Theo socy,1860,NA,1884,NA,1875,12000,1875,12000,Antebellum,Boston MA,-71.0588801,42.3600825
2015,2611,2504,MA,Boston,The Theological Library,Theo socy,1804,NA,NA,1823,1823,1300,1823,1300,Early National,Boston MA,-71.0588801,42.3600825
2016,5918,2483,MA,Boston,Boston Theological Seminary,Theo coll,1847,NA,1884,NA,1870,4000,1875,4000,Antebellum,Boston MA,-71.0588801,42.3600825
2017,5910,95186,MA,Boston,Massachusetts Medical College,Med coll,NA,1847,1854,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2018,5431,2474,MA,Boston,Boston College - Literary Society,Coll socy,1870,NA,1875,NA,1875,1000,1875,1000,Antebellum,Boston MA,-71.0588801,42.3600825
2019,6700,2494,MA,Boston,Boston City Hospital Medical Library,Hosp,1865,NA,1884,NA,1875,650,1875,650,Antebellum,Boston MA,-71.0588801,42.3600825
2020,6707,2543,MA,Boston,New England Hospital for Women and Children,Hosp,NA,1875,1875,NA,1875,550,1875,550,NA,Boston MA,-71.0588801,42.3600825
2021,6708,2523,MA,Boston,Massachusetts General Hospital,Hosp,1847,NA,1884,NA,1875,3542,1875,3542,Antebellum,Boston MA,-71.0588801,42.3600825
2022,6709,2522,MA,Boston,Massachusetts General Hospital,Hosp,1841,NA,1875,NA,1857,600,1875,500,Antebellum,Boston MA,-71.0588801,42.3600825
2023,6705,12224,MA,Boston,Boston State Hospital Medical Library,Hosp,1839,NA,1957,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2024,5917,2481,MA,Boston,"Boston University, School of Law",Law coll,1872,NA,1884,NA,1875,1600,1875,1600,Antebellum,Boston MA,-71.0588801,42.3600825
2025,4912,12238,MA,Boston,James Campbell's Circulating Library,Comm,NA,1870,1870,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2026,5919,2499,MA,Boston,Dental School of Harvard University,Med coll,1868,NA,1870,NA,1870,100,1870,100,Antebellum,Boston MA,-71.0588801,42.3600825
2027,5920,2521,MA,Boston,Mass. College of Pharmacy,Med coll,1823,NA,1884,NA,1857,300,1875,850,Early National,Boston MA,-71.0588801,42.3600825
2028,5921,2473,MA,Boston,Boston College,Coll,1864,NA,1884,NA,1870,6000,1875,7000,Antebellum,Boston MA,-71.0588801,42.3600825
2029,5922,2526,MA,Boston,Mass. Institute of Technology,Sci eng coll,1866,NA,1884,NA,1875,2500,1875,2500,Antebellum,Boston MA,-71.0588801,42.3600825
2030,5923,12253,MA,Boston,Tufts College Dental School,Med coll,1868,NA,1900,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2031,5924,2482,MA,Boston,Boston University of School of Medicine,Med coll,1873,NA,1884,NA,1875,1500,1875,1500,Antebellum,Boston MA,-71.0588801,42.3600825
2032,5941,12237,MA,Boston,Harvard University Dental School,Med coll,1867,NA,1900,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2033,5911,2541,MA,Boston,New England Female Medical College,Med coll,1848,NA,1870,NA,1858,50,1870,100,Antebellum,Boston MA,-71.0588801,42.3600825
2034,4895,12219,MA,Boston,Boston Circulating Library,Comm,1806,NA,NA,1808,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2035,4906,2468,MA,Boston,Berwick Library,Comm,1875,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2036,4905,12220,MA,Boston,"Baker, Luke, Circulating Library",Comm,1813,NA,1821,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2037,4904,2567,MA,Boston,Weston's Pioneer Library,Comm,1865,NA,1875,NA,1875,800,1875,800,Antebellum,Boston MA,-71.0588801,42.3600825
2038,4903,12255,MA,Boston,Washington Circulating Library,Comm,NA,1817,1817,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2039,4902,2565,MA,Boston,T.O. Walker Circulating Library,Comm,1841,NA,1845,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2040,4901,12254,MA,Boston,Union Circulating Library,Comm,NA,1805,NA,1805,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2041,5200,12252,MA,Boston,"Stevenson, Henry Circulating Library",Comm,1806,NA,1809,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2042,4899,12249,MA,Boston,Shakespeare Circulating Library,Comm,NA,1815,1850,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2043,4898,2555,MA,Boston,Sage's Circulating Library,Comm,1874,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2044,4933,12246,MA,Boston,Penniman - a Circulating Library,Comm,1808,NA,1809,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2045,4896,2535,MA,Boston,Circulating Library of John Mein,Comm,1765,NA,1765,NA,1765,1200,1765,1200,Colonial,Boston MA,-71.0588801,42.3600825
2046,4909,2485,MA,Boston,Brooks Library,Comm,1868,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2047,4894,2562,MA,Boston,Joshua Thomas Circulating Library,Comm,1793,NA,1793,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2048,4893,2488,MA,Boston,Kezia Butler Circulating,Comm,1804,NA,1825,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2049,4892,12230,MA,Boston,"Fanning, Caroline Circulating Library",Comm,NA,1816,1816,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2050,4891,12233,MA,Boston,Foreign Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2051,4890,12240,MA,Boston,Ladies Commercial Circulating Library,Comm,NA,1820,1829,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2052,4887,2559,MA,Boston,Miss Mary Spranger's Circulating Library,Comm,1802,NA,NA,1806,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2053,4886,2531,MA,Boston,Mayhew and Baker's Juvenile Circulating Library,Comm,NA,1860,1860,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2054,4885,95222,MA,Boston,Urbino's Foreign Circulating Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2055,4884,95221,MA,Boston,Suffolk Circulating Library,Comm,NA,1821,1822,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2056,4897,12222,MA,Boston,Boston Bookstore,Comm,1785,1785,NA,1806,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2057,4921,2516,MA,Boston,Lindsley Circulating Library,Comm,1861,NA,1875,NA,1875,3000,1875,3000,Antebellum,Boston MA,-71.0588801,42.3600825
2058,4932,2548,MA,Boston,William Pelham Circulating Library,Comm,1796,NA,1825,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2059,4931,12245,MA,Boston,"Parker, Samuel Circulating Library",Comm,NA,1811,1833,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2060,4930,2547,MA,Boston,Osgood's Circulating Library,Comm,1874,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2061,4929,12244,MA,Boston,New Circulating Library,Comm,NA,1804,1804,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2062,4928,12239,MA,Boston,John Milliquet's Circulating Library,Comm,NA,1803,1805,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2063,4927,2536,MA,Boston,Merrill's Library,Comm,NA,1875,1884,NA,1875,4000,1875,4000,NA,Boston MA,-71.0588801,42.3600825
2064,4926,2520,MA,Boston,William Martin Circulating Library,Comm,1785,NA,NA,1787,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2065,4925,2518,MA,Boston,A.K. Loring Select Library,Comm,1859,NA,1884,NA,1875,10000,1875,10000,Antebellum,Boston MA,-71.0588801,42.3600825
2066,4924,12242,MA,Boston,John Longhurst Circulating Library,Comm,NA,1811,1811,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2067,4907,12221,MA,Boston,Blagrove's Circulating Library,Comm,NA,1804,NA,1811,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2068,4922,2517,MA,Boston,Liscom's Circulating Library,Comm,1869,NA,1875,NA,1875,1000,1875,1000,Antebellum,Boston MA,-71.0588801,42.3600825
2069,4908,12225,MA,Boston,Boylston Circulating Library,Comm,NA,1820,1837,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2070,4920,2508,MA,Boston,Either Benjamin Guild or E. Bontelle's Bookstore Circulating Library,Comm,1785,1787,1806,1792,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2071,4919,12235,MA,Boston,Franklin Circulating Library,Comm,1820,NA,NA,1825,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2072,4918,12234,MA,Boston,Franklin Circulating Library,Comm,NA,1809,1809,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2073,4917,2495,MA,Boston,Commonwealth Circulating Library,Comm,1875,NA,1875,NA,1875,1800,1875,1800,Antebellum,Boston MA,-71.0588801,42.3600825
2074,4916,12228,MA,Boston,City Library (Cotton's Bookstore) Circulating Library,Comm,NA,1824,1824,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2075,4915,2492,MA,Boston,Circulating Library,Comm,1784,NA,1805,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2076,4913,2490,MA,Boston,Carter's Select Circulating Library,Comm,1870,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2077,4911,2487,MA,Boston,Thomas Burnham Circulating Library,Comm,1830,NA,1830,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2078,4910,12226,MA,Boston,"Buckingham, Jospeh T. Theological Circulating Library",Comm,1814,NA,1814,NA,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2079,4881,95218,MA,Boston,John W. Folsom's Circulating Library,Comm,NA,1794,1794,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2080,4923,12241,MA,Boston,Literary Rooms? T. Bedlinton Circulating Library,Comm,NA,1822,1825,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2081,4130,2546,MA,Boston,Odd Fellows' Library,Frat,1854,NA,1884,NA,1875,2754,1875,2754,Antebellum,Boston MA,-71.0588801,42.3600825
2082,4883,95220,MA,Boston,South Boston Circulating Library,Comm,NA,1849,1849,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2083,7592,2459,MA,Boston,Adjutant Generals Library,Law state,1812,NA,1858,NA,1858,600,1858,600,Early National,Boston MA,-71.0588801,42.3600825
2084,4545,2527,MA,Boston,Society for Promoting Agriculture,Agri socl,1792,NA,1859,NA,1815,125,1859,200,Early National,Boston MA,-71.0588801,42.3600825
2085,7638,2539,MA,Boston,Naval Library and Institute,Mil acad,1842,NA,1884,NA,1875,4500,1875,4500,Antebellum,Boston MA,-71.0588801,42.3600825
2086,7640,2549,MA,Boston,Post Library - Fort Warren,Garr,1850,NA,1884,NA,1870,1900,1875,1900,Antebellum,Boston MA,-71.0588801,42.3600825
2087,4427,2542,MA,Boston,New England Historical and Genealogical Society,Hist socl,1845,NA,1884,NA,1850,1500,1875,12337,Antebellum,Boston MA,-71.0588801,42.3600825
2088,4426,2524,MA,Boston,Mass. Historical Society,Hist socl,1791,NA,1884,NA,1851,7000,1875,23000,Early National,Boston MA,-71.0588801,42.3600825
2089,4389,2554,MA,Boston,Roxbury Society for Medical Improvement,Med socy,1866,NA,1875,NA,1875,1500,1875,1500,Antebellum,Boston MA,-71.0588801,42.3600825
2090,4388,2478,MA,Boston,Boston Society for Medical Improvement,Med socy,NA,1858,1858,NA,1858,500,1858,500,NA,Boston MA,-71.0588801,42.3600825
2091,7580,2528,MA,Boston,Mass. State Board of Agriculture,Agri state,1852,NA,1867,NA,1858,1000,1867,1000,Antebellum,Boston MA,-71.0588801,42.3600825
2092,4301,2570,MA,Boston,YWCA Library,YWCA,1867,NA,1884,NA,1875,1000,1875,1000,Antebellum,Boston MA,-71.0588801,42.3600825
2093,7577,2560,MA,Boston,Mass. State Board of Health,State,1869,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2094,4129,2507,MA,Boston,Grand Lodge of Mass.,Frat,1864,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2095,4034,2563,MA,Boston,Turner Library,Socl,1849,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2096,3966,2558,MA,Boston,Society for Cultivating Philosphical Knowledge,Socy,1801,NA,NA,1807,NA,0,NA,0,Early National,Boston MA,-71.0588801,42.3600825
2097,3965,2545,MA,Boston,Numismatic Society,Sci eng socy,1860,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2098,3964,95088,MA,Boston,Franklin Typographical Society,Sci eng socy,NA,1848,1873,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2099,3963,2480,MA,Boston,Library Of the Boston Society of Natl. Hist.,Sci eng socy,NA,NA,1875,NA,1849,1600,1875,10000,NA,Boston MA,-71.0588801,42.3600825
2100,3962,2479,MA,Boston,Boston Society of Civil Engineers,Sci eng socy,1851,NA,1884,NA,NA,0,NA,0,Antebellum,Boston MA,-71.0588801,42.3600825
2101,3961,2465,MA,Boston,American Statistical Assoc. Library,Sci eng socy,1839,NA,1858,NA,1850,2000,1858,2500,Antebellum,Boston MA,-71.0588801,42.3600825
2102,3960,2460,MA,Boston,Library of the Amer. Acad. Of Arts and Sciences,Sci eng socy,1780,NA,1899,NA,1857,9600,1875,16000,Early National,Boston MA,-71.0588801,42.3600825
2103,7530,2564,MA,Boston,US. Marine Hospital Service,US Gov,1821,NA,1884,NA,1875,785,1875,785,Early National,Boston MA,-71.0588801,42.3600825
2104,4387,2477,MA,Boston,Boston Medical Library,Med,1806,NA,NA,1826,1808,298,1816,1096,Early National,Boston MA,-71.0588801,42.3600825
2105,7198,12232,MA,Boston,First Universalist Church Collection of Hymns,Church,NA,1808,1808,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2106,7205,95142,MA,Boston,St. Paul's Church Sears Library,Church,NA,1827,1827,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2107,4880,95217,MA,Boston,Halliday's Circulating Library,Comm,NA,1872,1872,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
2108,4879,95216,MA,Boston,American and Foreign Circulating Library,Comm,NA,NA,NA,NA,NA,0,NA,0,NA,Boston MA,-71.0588801,42.3600825
