Name,Organization,Year Elected,Status,Residency
David Hosack,American Philosophical Society,1810,Member,Resident
William Johnson,American Philosophical Society,1810,Member,Resident
William Bentley,American Philosophical Society,1811,Member,Resident
John Davis,American Philosophical Society,1811,Member,Resident
John M. Good,American Philosophical Society,1811,Member,International
Louis N. Vanquelin,American Philosophical Society,1811,Member,International
Charles J. Wister,American Philosophical Society,1811,Member,Resident
Robert Adrain,American Philosophical Society,1812,Member,Resident
Benjamin Allen,American Philosophical Society,1812,Member,Resident
Jose F. Correa da Serra,American Philosophical Society,1812,Member,International
Robert Walsh,American Philosophical Society,1812,Member,Resident
W.P.C. Barton,American Philosophical Society,1813,Member,Resident
Nicholas Biddle,American Philosophical Society,1813,Member,Resident
Charles Chauncey,American Philosophical Society,1813,Member,Resident
Constant Dumeril,American Philosophical Society,1813,Member,International
Reuben Haines,American Philosophical Society,1813,Member,Resident
William Hembel,American Philosophical Society,1813,Member,Resident
William T. Meredith,American Philosophical Society,1813,Member,Resident
Benjamin R. Morgan,American Philosophical Society,1813,Member,Resident
George Pollock,American Philosophical Society,1813,Member,Resident
Anders J. Retzius,American Philosophical Society,1813,Member,International
John Sergeant,American Philosophical Society,1813,Member,Resident
Alexander Wilson,American Philosophical Society,1813,Member,Resident
Nathaniel Stout Allison,American Philosophical Society,1814,Member,Resident
Frederick Beasley,American Philosophical Society,1814,Member,Resident
John G. Biddle,American Philosophical Society,1814,Member,Resident
De Witt Clinton,American Philosophical Society,1814,Member,Resident
James Cutbush,American Philosophical Society,1814,Member,Resident
John S. Dorsey,American Philosophical Society,1814,Member,Resident
Thomas Gilpin,American Philosophical Society,1814,Member,Resident
John Gummere,American Philosophical Society,1814,Member,Resident
John E. Hall,American Philosophical Society,1814,Member,Resident
Joseph G. Swift,American Philosophical Society,1814,Member,Resident
James P. Wilson,American Philosophical Society,1814,Member,Resident
Samuel Colhoun,American Philosophical Society,1815,Member,Resident
James Gray,American Philosophical Society,1815,Member,Resident
Charles W. Hare,American Philosophical Society,1815,Member,Resident
Joseph Hartshorne,American Philosophical Society,1815,Member,Resident
Joseph Hopkinson,American Philosophical Society,1815,Member,Resident
Charles J. Ingersoll,American Philosophical Society,1815,Member,Resident
Joseph P. Norris,American Philosophical Society,1815,Member,Resident
Joseph Parrish,American Philosophical Society,1815,Member,Resident
John M. Scott,American Philosophical Society,1815,Member,Resident
Carlo Botta,American Philosophical Society,1816,Member,International
Abiel Holmes,American Philosophical Society,1816,Member,Resident
Jared Mansfield,American Philosophical Society,1816,Member,Resident
Joseph Reed,American Philosophical Society,1816,Member,Resident
Isaiah Thomas,American Philosophical Society,1816,Member,Resident
Gerard Troost,American Philosophical Society,1816,Member,Resident
Joseph P.F. Deleuze,American Philosophical Society,1817,Member,International
Johann P. Frank,American Philosophical Society,1817,Member,International
William Gaston,American Philosophical Society,1817,Member,Resident
Jos. von Hammer-Purgstall,American Philosophical Society,1817,Member,International
Charles A. Lesueur,American Philosophical Society,1817,Member,International
William Meade,American Philosophical Society,1817,Member,Resident
Charles F. Mercer,American Philosophical Society,1817,Member,Resident
Jean C. de la Metherie,American Philosophical Society,1817,Member,International
Eugenius Nulty,American Philosophical Society,1817,Member,Resident
Thomas Nuttall,American Philosophical Society,1817,Member,Resident
George Ord,American Philosophical Society,1817,Member,Resident
John C. Otto,American Philosophical Society,1817,Member,Resident
Richard Rush,American Philosophical Society,1817,Member,Resident
Thomas Say,American Philosophical Society,1817,Member,Resident
Lewis Schweinitz,American Philosophical Society,1817,Member,Resident
Joseph von Sonnenfels,American Philosophical Society,1817,Member,International
Henry Steinhauer,American Philosophical Society,1817,Member,Resident
Edward Troughton,American Philosophical Society,1817,Member,International
Johann S. Vater,American Philosophical Society,1817,Member,International
John Q. Adams,American Philosophical Society,1818,Member,Resident
Friedrich Adelung,American Philosophical Society,1818,Member,International
Jacob Bigelow,American Philosophical Society,1818,Member,Resident
Parker Cleaveland,American Philosophical Society,1818,Member,Resident
Daniel Drake,American Philosophical Society,1818,Member,Resident
Nicholas Fuss,American Philosophical Society,1818,Member,International
Paul Jackson,American Philosophical Society,1818,Member,Resident
Josiah Meigs,American Philosophical Society,1818,Member,Resident
Noel de la Moriniere,American Philosophical Society,1818,Member,International
Joseph Swain,American Philosophical Society,1818,Member,Resident
Gotthilf Fischer Von Waldheim,American Philosophical Society,1818,Member,International
John C. Warren,American Philosophical Society,1818,Member,Resident
Johann A. Albers,American Philosophical Society,1819,Member,International
Henri M. Ducrotay de Blainville,American Philosophical Society,1819,Member,International
Alexandre Brongniart,American Philosophical Society,1819,Member,International
Redmond Conyngham,American Philosophical Society,1819,Member,Resident
Anselme G. Desmarest,American Philosophical Society,1819,Member,International
William P. Dewees,American Philosophical Society,1819,Member,Resident
John Eberle,American Philosophical Society,1819,Member,Resident
Stephan Elliot,American Philosophical Society,1819,Member,Resident
L.H. Girardin,American Philosophical Society,1819,Member,Resident
William E. Horner,American Philosophical Society,1819,Member,Resident
Louis M. Langles,American Philosophical Society,1819,Member,International
Comte de Jean D. Lanjuinais,American Philosophical Society,1819,Member,International
Pierre A. Latreille,American Philosophical Society,1819,Member,International
John Murray,American Philosophical Society,1819,Member,International
Jacob Perkins,American Philosophical Society,1819,Member,Resident
Fred C. Schaeffer,American Philosophical Society,1819,Member,Resident
Guillaume T. Tilesius,American Philosophical Society,1819,Member,International
Roberts Vaux,American Philosophical Society,1819,Member,Resident
Franklin Bache,American Philosophical Society,1820,Member,Resident
John J. Berzelius,American Philosophical Society,1820,Member,International
J.A. Borgnis,American Philosophical Society,1820,Member,International
William Gibson,American Philosophical Society,1820,Member,Resident
Baron von Joseph Hormayr,American Philosophical Society,1820,Member,International
Samuel F. Jarvis,American Philosophical Society,1820,Member,Resident
Matthew Lesseps,American Philosophical Society,1820,Member,International
Isaiah Lukens,American Philosophical Society,1820,Member,Resident
William Marsden,American Philosophical Society,1820,Member,International
Jacques P. Merigon de Montgery,American Philosophical Society,1820,Member,International
John Pickering,American Philosophical Society,1820,Member,Resident
William Strickland,American Philosophical Society,1820,Member,Resident
Peter Afzelius,American Philosophical Society,1821,Member,International
Clement C. Biddle,American Philosophical Society,1821,Member,Resident
Elisha De Butts,American Philosophical Society,1821,Member,Resident
Mathew Carey,American Philosophical Society,1821,Member,Resident
Langdon Cheves,American Philosophical Society,1821,Member,Resident
John B. Gibson,American Philosophical Society,1821,Member,Resident
Levitt Harris,American Philosophical Society,1821,Member,Resident
George A. Otis,American Philosophical Society,1821,Member,Resident
Count Gustavus Wetterstedt,American Philosophical Society,1821,Member,International
James Workman,American Philosophical Society,1821,Member,Resident
Sir James Wylie,American Philosophical Society,1821,Member,International
Solomon W. Conrad,American Philosophical Society,1822,Member,Resident
Jose B. de Andrada e Silva,American Philosophical Society,1822,Member,International
Richard Harlan,American Philosophical Society,1822,Member,Resident
Baron von Wilhelm Humboldt,American Philosophical Society,1822,Member,International
William H. Keating,American Philosophical Society,1822,Member,Resident
Zacharias Nordmark,American Philosophical Society,1822,Member,International
Samuel Parkes,American Philosophical Society,1822,Member,International
Peder Pedersen,American Philosophical Society,1822,Member,International
Peter Poletica,American Philosophical Society,1822,Member,International
Condy Raguet,American Philosophical Society,1822,Member,Resident
Gottlob E. Schultze,American Philosophical Society,1822,Member,International
Jons Svanberg,American Philosophical Society,1822,Member,International
Lardner Vanuxem,American Philosophical Society,1822,Member,Resident
Joseph Bonaparte,American Philosophical Society,1823,Member,International
Lucien Bonaparte,American Philosophical Society,1823,Member,International
Benjamin H. Coates,American Philosophical Society,1823,Member,Resident
William B. Collyer,American Philosophical Society,1823,Member,International
James F. Cooper,American Philosophical Society,1823,Member,Resident
William Darlington,American Philosophical Society,1823,Member,Resident
Gaspard Deabbate,American Philosophical Society,1823,Member,International
Jean M. Duponceau,American Philosophical Society,1823,Member,International
Samuel Jackson,American Philosophical Society,1823,Member,Resident
Jason O'B Lawrence,American Philosophical Society,1823,Member,Resident
Sir William Lawrence,American Philosophical Society,1823,Member,International
Stephen H. Long,American Philosophical Society,1823,Member,Resident
Paul de Lovenorn,American Philosophical Society,1823,Member,International
William J. Macneven,American Philosophical Society,1823,Member,Resident
Baron Charles E Coquebert de Mountbret,American Philosophical Society,1823,Member,International
John Plitt,American Philosophical Society,1823,Member,Resident
Heinrich C. Schumacher,American Philosophical Society,1823,Member,International
Count de Joseph B. Survilliers,American Philosophical Society,1823,Member,Resident
Nathaniel A. Ware,American Philosophical Society,1823,Member,Resident
Charles Lucien Bonaparte,American Philosophical Society,1824,Member,International
Heinrich J. Klaproth,American Philosophical Society,1824,Member,International
Ivan Krusenstern,American Philosophical Society,1824,Member,International
Severin Lorich,American Philosophical Society,1824,Member,International
Joseph B. McKean,American Philosophical Society,1824,Member,Resident
Alexander Pearson,American Philosophical Society,1824,Member,International
Henry Seybert,American Philosophical Society,1824,Member,Resident
Moses Stuart,American Philosophical Society,1824,Member,Resident
Conrad J. Temminck,American Philosophical Society,1824,Member,International
Charles N. Bancker,American Philosophical Society,1825,Member,Resident
John J. Bigsby,American Philosophical Society,1825,Member,International
Thomas Cadwalader,American Philosophical Society,1825,Member,Resident
Comte de Andre F. Miot,American Philosophical Society,1825,Member,International
Pierre J.M. Flourens,American Philosophical Society,1825,Member,International
John D. Godman,American Philosophical Society,1825,Member,Resident
Joseph R. Ingersoll,American Philosophical Society,1825,Member,Resident
John K. Kane,American Philosophical Society,1825,Member,Resident
Count John Laval,American Philosophical Society,1825,Member,International
Jos_ da Silva Lisboa,American Philosophical Society,1825,Member,International
Edward Livingston,American Philosophical Society,1825,Member,Resident
Comte Francois P. Real,American Philosophical Society,1825,Member,International
Count Nicholas Rumiantzov,American Philosophical Society,1825,Member,International
Philip Tidyman,American Philosophical Society,1825,Member,Resident
Lewis Cass,American Philosophical Society,1826,Member,Resident
Samuel Humphreys,American Philosophical Society,1826,Member,Resident
"Jakob, Grefve Graberg af Hemso",American Philosophical Society,1826,Member,International
Pablo de la Llave,American Philosophical Society,1826,Member,International
William McIlvaine,American Philosophical Society,1826,Member,Resident
Charles D. Meigs,American Philosophical Society,1826,Member,Resident
William Schaler,American Philosophical Society,1826,Member,Resident
William Shaler,American Philosophical Society,1826,Member,Resident
Henri C.G. de Struve,American Philosophical Society,1826,Member,International
John L. Tiarks,American Philosophical Society,1826,Member,International
James Brown,American Philosophical Society,1827,Member,Resident
Marcus Bull,American Philosophical Society,1827,Member,Resident
John W. Dalman,American Philosophical Society,1827,Member,International
George Emlen,American Philosophical Society,1827,Member,Resident
Joachim P.C. Giraldez,American Philosophical Society,1827,Member,International
John K. Mitchell,American Philosophical Society,1827,Member,Resident
Joel R. Poinsett,American Philosophical Society,1827,Member,Resident
Rene La Roche,American Philosophical Society,1827,Member,Resident
James Rush,American Philosophical Society,1827,Member,Resident
Charles Tait,American Philosophical Society,1827,Member,Resident
Honore Torombert,American Philosophical Society,1827,Member,International
Noah Webster,American Philosophical Society,1827,Member,Resident
John P. Wetherill,American Philosophical Society,1827,Member,Resident
Giovanni M. Zecchinelli,American Philosophical Society,1827,Member,International
Samuel Betton,American Philosophical Society,1828,Member,Resident
Jose M. Bustamante,American Philosophical Society,1828,Member,International
Jose M. Dantas,American Philosophical Society,1828,Member,International
Robert E. Griffith,American Philosophical Society,1828,Member,Resident
Thomas Harris,American Philosophical Society,1828,Member,Resident
Henry J. Anderson,American Philosophical Society,1828,Member,Resident
Isaac Lea,American Philosophical Society,1828,Member,Resident
Samuel G. Morton,American Philosophical Society,1828,Member,Resident
Charles Pickering,American Philosophical Society,1828,Member,Resident
James Renwick,American Philosophical Society,1828,Member,Resident
Jose M. Salazar,American Philosophical Society,1828,Member,International
George Ticknor,American Philosophical Society,1828,Member,Resident
Joseph N.B.V. Abrahamson,American Philosophical Society,1829,Member,International
Alexander D. Bache,American Philosophical Society,1829,Member,Resident
Thomas Biddle,American Philosophical Society,1829,Member,Resident
Thomas Horsfield,American Philosophical Society,1829,Member,Resident
Washington Irving,American Philosophical Society,1829,Member,Resident
Edme F. Jomard,American Philosophical Society,1829,Member,International
James Kent,American Philosophical Society,1829,Member,Resident
William H. De Lancey,American Philosophical Society,1829,Member,Resident
Baron Jean G. Hyde de Neuville,American Philosophical Society,1829,Member,Resident
Philip H. Nicklin,American Philosophical Society,1829,Member,Resident
Hans C. Oersted,American Philosophical Society,1829,Member,International
Charles Pougens,American Philosophical Society,1829,Member,International
Francisco de Paula Quadrada,American Philosophical Society,1829,Member,International
Josiah Quincy,American Philosophical Society,1829,Member,Resident
Carls C. Rafn,American Philosophical Society,1829,Member,International
Rasmus C. Rask,American Philosophical Society,1829,Member,International
Joseph Roberts,American Philosophical Society,1829,Member,Resident
Daniel B. Smith,American Philosophical Society,1829,Member,Resident
Henry S. Tanner,American Philosophical Society,1829,Member,Resident
Henry Wheaton,American Philosophical Society,1829,Member,Resident
George B. Wood,American Philosophical Society,1829,Member,Resident
Isaac Hays,American Philosophical Society,1830,Member,Resident
William B. Hodgson,American Philosophical Society,1830,Member,Resident
Marc A. Jullien,American Philosophical Society,1830,Member,International
John Marshall,American Philosophical Society,1830,Member,Resident
Lorenzo Martini,American Philosophical Society,1830,Member,International
Thomas McEuen,American Philosophical Society,1830,Member,Resident
Friederich Munter,American Philosophical Society,1830,Member,International
Jean P.A. Remusat,American Philosophical Society,1830,Member,International
Andres del Rio,American Philosophical Society,1830,Member,International
Duke Karl Bernhard Saxe-Weimar,American Philosophical Society,1830,Member,International
Jonathan Sewell,American Philosophical Society,1830,Member,International
William Vaughan,American Philosophical Society,1830,Member,International
Jules de Wallenstein,American Philosophical Society,1830,Member,International
Thomas I. Wharton,American Philosophical Society,1830,Member,Resident
William Yarrel,American Philosophical Society,1830,Member,International
John J. Audubon,American Philosophical Society,1831,Member,Resident
Hartman Bache,American Philosophical Society,1831,Member,Resident
Conte Prospero Balbo,American Philosophical Society,1831,Member,International
Giacinto Carena,American Philosophical Society,1831,Member,International
Alexander Hill Everett,American Philosophical Society,1831,Member,Resident
Edward Everett,American Philosophical Society,1831,Member,Resident
Francisco A. Gonzoles,American Philosophical Society,1831,Member,International
Thomas P. Jones,American Philosophical Society,1831,Member,Resident
Baron Dominique J. Larrey,American Philosophical Society,1831,Member,International
Louis-Philippe d'Orlians,American Philosophical Society,1831,Member,International
Louis McLane,American Philosophical Society,1831,Member,Resident
Martin F. Navarette,American Philosophical Society,1831,Member,International
William C. Rives,American Philosophical Society,1831,Member,Resident
Henry Vethake,American Philosophical Society,1831,Member,Resident
J.J. Abert,American Philosophical Society,1832,Member,Resident
Frederick Augustus,American Philosophical Society,1832,Member,International
John Bell,American Philosophical Society,1832,Member,Resident
Steen Bille,American Philosophical Society,1832,Member,International
Ebbe S. Bring,American Philosophical Society,1832,Member,International
Julius T. Ducatel,American Philosophical Society,1832,Member,Resident
Robley Dunglinson,American Philosophical Society,1832,Member,Resident
Henry D. Gilpin,American Philosophical Society,1832,Member,Resident
Hugh L. Hodge,American Philosophical Society,1832,Member,Resident
John P. Hopkinson,American Philosophical Society,1832,Member,Resident
Theodor Q. Lorin,American Philosophical Society,1832,Member,International
Juan J. Martinez,American Philosophical Society,1832,Member,International
Thomas Sergeant,American Philosophical Society,1832,Member,Resident
Matthias W. Baldwin,American Philosophical Society,1833,Member,Resident
Ilya Bujalsky,American Philosophical Society,1833,Member,International
Marmaduke Burrough,American Philosophical Society,1833,Member,Resident
Henry C. Carey,American Philosophical Society,1833,Member,Resident
Gouverneur Emerson,American Philosophical Society,1833,Member,Resident
Joshua Francis Fisher,American Philosophical Society,1833,Member,Resident
Edwin James,American Philosophical Society,1833,Member,Resident
Jean Labouderie,American Philosophical Society,1833,Member,International
Samuel V. Merrick,American Philosophical Society,1833,Member,Resident
Charles Nagy,American Philosophical Society,1833,Member,International
Franklin Peale,American Philosophical Society,1833,Member,Resident
Titan R. Peale,American Philosophical Society,1833,Member,Resident
Jacob Randolph,American Philosophical Society,1833,Member,Resident
Moncure Robinson,American Philosophical Society,1833,Member,Resident
Visconde Manuel F. de Barros e Sousa Santarem,American Philosophical Society,1833,Member,International
Henry R. Schoolcraft,American Philosophical Society,1833,Member,Resident
Henry J. Williams,American Philosophical Society,1833,Member,Resident
Charles A. Agardh,American Philosophical Society,1835,Member,International
John Brockenbrough,American Philosophical Society,1835,Member,Resident
D. Francis Condie,American Philosophical Society,1835,Member,Resident
Edward H. Courtenay,American Philosophical Society,1835,Member,Resident
William Drayton,American Philosophical Society,1835,Member,Resident
James P. Espy,American Philosophical Society,1835,Member,Resident
Joseph Henry,American Philosophical Society,1835,Member,Resident
Henry D. Rogers,American Philosophical Society,1835,Member,Resident
William B. Rogers,American Philosophical Society,1835,Member,Resident
Charles W. Short,American Philosophical Society,1835,Member,Resident
Thomas Sully,American Philosophical Society,1835,Member,Resident
John Torrey,American Philosophical Society,1835,Member,Resident
John Wickham,American Philosophical Society,1835,Member,Resident
Nicholas Carlisle,American Philosophical Society,1836,Member,International
Nathan Dunn,American Philosophical Society,1836,Member,Resident
Mariano Galvez,American Philosophical Society,1836,Member,International
John Griscom,American Philosophical Society,1836,Member,Resident
Karl C. von Leonhard,American Philosophical Society,1836,Member,International
J.J. Da Costa Macedo,American Philosophical Society,1836,Member,International
Domenico C. Morelli,American Philosophical Society,1836,Member,International
Manuel Naxera,American Philosophical Society,1836,Member,International
Granville Penn,American Philosophical Society,1836,Member,International
Caspar G.C. Reomwardt,American Philosophical Society,1836,Member,International
Jean B.G. Roux de Rochelle,American Philosophical Society,1836,Member,International
Joseph G. Totten,American Philosophical Society,1836,Member,Resident
Edward Turner,American Philosophical Society,1836,Member,International
Job R. Tyson,American Philosophical Society,1836,Member,Resident
George Campbell,American Philosophical Society,1837,Member,Resident
John G. Crosse,American Philosophical Society,1837,Member,International
Thomas Dunlap,American Philosophical Society,1837,Member,Resident
William Jenks,American Philosophical Society,1837,Member,Resident
Charles R. Leslie,American Philosophical Society,1837,Member,International
William M. Meredith,American Philosophical Society,1837,Member,Resident
Joseph Saxton,American Philosophical Society,1837,Member,Resident
James B. Prichard,American Philosophical Society,1837,Member,International
Jared Sparks,American Philosophical Society,1837,Member,Resident
George Tucker,American Philosophical Society,1837,Member,Resident
Sears C. Walker,American Philosophical Society,1837,Member,Resident
Daniel Webster,American Philosophical Society,1837,Member,Resident
Thomas L. Winthrop,American Philosophical Society,1837,Member,Resident
Henry Baldwin,American Philosophical Society,1838,Member,Resident
Samuel Breck,American Philosophical Society,1838,Member,Resident
Charles G.B. Daubeny,American Philosophical Society,1838,Member,International
John P. Emmet,American Philosophical Society,1838,Member,Resident
Thomas W. Griffith,American Philosophical Society,1838,Member,Resident
William Harris,American Philosophical Society,1838,Member,Resident
Hugh S. Legare,American Philosophical Society,1838,Member,Resident
William Norris,American Philosophical Society,1838,Member,Resident
Robert T. Paine,American Philosophical Society,1838,Member,Resident
William H. Prescott,American Philosophical Society,1838,Member,Resident
Henry Reed,American Philosophical Society,1838,Member,Resident
William Sullivan,American Philosophical Society,1838,Member,Resident
Andrew Talcott,American Philosophical Society,1838,Member,Resident
Sylvanus Thayer,American Philosophical Society,1838,Member,Resident
Francis Wayland,American Philosophical Society,1838,Member,Resident
Stephen Alexander,American Philosophical Society,1839,Member,Resident
T. Romeyn Beck,American Philosophical Society,1839,Member,Resident
George W. Bethune,American Philosophical Society,1839,Member,Resident
James C. Booth,American Philosophical Society,1839,Member,Resident
Edward Coles,American Philosophical Society,1839,Member,Resident
John C. Cresson,American Philosophical Society,1839,Member,Resident
Johann R. Encke,American Philosophical Society,1839,Member,International
George P. Gooch,American Philosophical Society,1839,Member,International
Karl Gutzlaff,American Philosophical Society,1839,Member,International
John E. Holbrook,American Philosophical Society,1839,Member,Resident
George M. Justice,American Philosophical Society,1839,Member,Resident
Humphrey Lloyd,American Philosophical Society,1839,Member,International
Elias loomis,American Philosophical Society,1839,Member,Resident
Lohn Ludlow,American Philosophical Society,1839,Member,Resident
James K. Paulding,American Philosophical Society,1839,Member,Resident
John Penington,American Philosophical Society,1839,Member,Resident
James Prinsep,American Philosophical Society,1839,Member,International
Lambert A.J. Quetelet,American Philosophical Society,1839,Member,International
Benjamin W. Richards,American Philosophical Society,1839,Member,Resident
Karl L.C. Rumker,American Philosophical Society,1839,Member,International
Samuel L. Southard,American Philosophical Society,1839,Member,Resident
Richard C. Taylor,American Philosophical Society,1839,Member,Resident
Eugene A Vail,American Philosophical Society,1839,Member,International
Thomas U. Walter,American Philosophical Society,1839,Member,International
John Washington,American Philosophical Society,1839,Member,International
Pedro de Angelis,American Philosophical Society,1840,Member,International
W.H.C. Bartlett,American Philosophical Society,1840,Member,Resident
Francis Beaufort,American Philosophical Society,1840,Member,International
Friedrich W. Bessel,American Philosophical Society,1840,Member,International
Charles Bonnycastle,American Philosophical Society,1840,Member,Resident
Martin H. Boye,American Philosophical Society,1840,Member,Resident
George M. Dallas,American Philosophical Society,1840,Member,Resident
C.R. Demme,American Philosophical Society,1840,Member,Resident
Judah Dobson,American Philosophical Society,1840,Member,Resident
Jean B.B. Eyries,American Philosophical Society,1840,Member,International
Michael Faraday,American Philosophical Society,1840,Member,International
William R. Fisher,American Philosophical Society,1840,Member,Resident
John Forbes,American Philosophical Society,1840,Member,International
Robert W. Fox,American Philosophical Society,1840,Member,International
William H. Furness,American Philosophical Society,1840,Member,Resident
Paul Beck Goddard,American Philosophical Society,1840,Member,Resident
James Duncan Graham,American Philosophical Society,1840,Member,Resident
Francois P.G. Guizot,American Philosophical Society,1840,Member,International
Samuel D. Ingham,American Philosophical Society,1840,Member,Resident
Hartman Kuhn,American Philosophical Society,1840,Member,Resident
Francisco Martinez,American Philosophical Society,1840,Member,International
Phillip Milledoler,American Philosophical Society,1840,Member,Resident
John Sanderson,American Philosophical Society,1840,Member,Resident
George W. Smith,American Philosophical Society,1840,Member,Resident
Isaac Wayne,American Philosophical Society,1840,Member,Resident
George M. Wharton,American Philosophical Society,1840,Member,Resident
George Bancroft,American Philosophical Society,1841,Member,Resident
Adolph C.P. Callisen,American Philosophical Society,1841,Member,International
Augustin P. de Candolle,American Philosophical Society,1841,Member,International
Robert Christison,American Philosophical Society,1841,Member,International
Benjamin Dorr,American Philosophical Society,1841,Member,Resident
Edward Hitchcock,American Philosophical Society,1841,Member,Resident
David Irvin,American Philosophical Society,1841,Member,Resident
Issac R. Jackson,American Philosophical Society,1841,Member,Resident
Roswell Park,American Philosophical Society,1841,Member,Resident
William Peter,American Philosophical Society,1841,Member,International
Bernardo Quaranta,American Philosophical Society,1841,Member,International
William Rawle,American Philosophical Society,1841,Member,Resident
Edward Sabine,American Philosophical Society,1841,Member,International
John L. Stephens,American Philosophical Society,1841,Member,Resident
Tobias Wagner,American Philosophical Society,1841,Member,Resident
Simeon Borden,American Philosophical Society,1841,Member,Resident
Edward W. Brayley,American Philosophical Society,1841,Member,International
Stephan Endlicher,American Philosophical Society,1841,Member,International
Frederick Fraley,American Philosophical Society,1841,Member,Resident
John F. Frazer,American Philosophical Society,1841,Member,Resident
J.I. Clark Hare,American Philosophical Society,1841,Member,Resident
E. Otis Kendall,American Philosophical Society,1841,Member,Resident
Baron di Jean C.F. Ladoucette,American Philosophical Society,1841,Member,International
Charles Lyell,American Philosophical Society,1841,Member,International
J.N. Nicollet,American Philosophical Society,1841,Member,Resident
George Peacock,American Philosophical Society,1841,Member,International
Benjamin Peirce,American Philosophical Society,1841,Member,Resident
Ludwig P.M. von Ronne,American Philosophical Society,1841,Member,International
Alexis C.H.C. de Tocqueville,American Philosophical Society,1841,Member,International
Petty Vaughan,American Philosophical Society,1841,Member,International
Louis Agassiz,American Philosophical Society,1843,Member,International
Thomas P. Cope,American Philosophical Society,1843,Member,Resident
William H. Dillingham,American Philosophical Society,1843,Member,Resident
John Downes,American Philosophical Society,1843,Member,Resident
Charles Ellet,American Philosophical Society,1843,Member,Resident
William Gerhard,American Philosophical Society,1843,Member,Resident
Leopoldo II,American Philosophical Society,1843,Member,International
Stanislas Julien,American Philosophical Society,1843,Member,International
Count Egor Kankrin,American Philosophical Society,1843,Member,International
John Lenthall,American Philosophical Society,1843,Member,Resident
Charles McEuen,American Philosophical Society,1843,Member,Resident
Ellwood Morris,American Philosophical Society,1843,Member,Resident
Andreas Mustoxidi,American Philosophical Society,1843,Member,International
William Reid,American Philosophical Society,1843,Member,International
Solomon W. Roberts,American Philosophical Society,1843,Member,Resident
Charles B. Trego,American Philosophical Society,1843,Member,Resident
Charles Wilkes,American Philosophical Society,1843,Member,Resident
William Ewing Du Bois,American Philosophical Society,1844,Member,Resident
Robert Bridges,American Philosophical Society,1844,Member,Resident
Benjamin F. Butler,American Philosophical Society,1844,Member,Resident
Joseph Carson,American Philosophical Society,1844,Member,Resident
John W. Draper,American Philosophical Society,1844,Member,Resident
Jacob R. Eckfeldt,American Philosophical Society,1844,Member,Resident
Alfred L. Elwyn,American Philosophical Society,1844,Member,Resident
J.W. Francis,American Philosophical Society,1844,Member,Resident
Samuel S. Haldeman,American Philosophical Society,1844,Member,Resident
John S. Hart,American Philosophical Society,1844,Member,Resident
John Locke,American Philosophical Society,1844,Member,Resident
T.G. Mower,American Philosophical Society,1844,Member,Resident
George W. Norris,American Philosophical Society,1844,Member,Resident
William A. Norton,American Philosophical Society,1844,Member,Resident
Alonzo Potter,American Philosophical Society,1844,Member,Resident
W.C. Redfield,American Philosophical Society,1844,Member,Resident
Joseph Story,American Philosophical Society,1844,Member,Resident
Theodore Strong,American Philosophical Society,1844,Member,Resident
Roger B. Taney,American Philosophical Society,1844,Member,Resident
John C. Trautwine,American Philosophical Society,1844,Member,Resident
Joseph Addison Alexander,American Philosophical Society,1845,Member,Resident
Charles F. Beck,American Philosophical Society,1845,Member,Resident
William B. Carpenter,American Philosophical Society,1845,Member,International
James Clark,American Philosophical Society,1845,Member,International
James Copland,American Philosophical Society,1845,Member,International
William Jardine,American Philosophical Society,1845,Member,International
Karl R. Lepsius,American Philosophical Society,1845,Member,International
Edward Miller,American Philosophical Society,1845,Member,Resident
Richard Owen,American Philosophical Society,1845,Member,International
Guillaume Tell Poussin,American Philosophical Society,1845,Member,International
Friedrich L.G. von Raumer,American Philosophical Society,1845,Member,International
Prinz von Maximilian A.P. Wied-Neuwied,American Philosophical Society,1845,Member,International
James Buchanan,American Philosophical Society,1846,Member,Resident
Guiseppi C. Grimaldi,American Philosophical Society,1846,Member,International
Henry Holland,American Philosophical Society,1846,Member,International
Richard S. McCulloh,American Philosophical Society,1846,Member,Resident
Johannes P. Muller,American Philosophical Society,1846,Member,International
James B. Rogers,American Philosophical Society,1846,Member,Resident
Lewis Waln,American Philosophical Society,1846,Member,Resident
Adolf T. von Kupffer,American Philosophical Society,1847,Member,International
Urbain J.J. Leverrier,American Philosophical Society,1847,Member,International
John Y. Mason,American Philosophical Society,1847,Member,Resident
William Proctor,American Philosophical Society,1847,Member,Resident
Richard A. Tilghman,American Philosophical Society,1847,Member,Resident
John C. Adams,American Philosophical Society,1848,Member,International
Robert Baird,American Philosophical Society,1848,Member,Resident
Calderon de la Barca,American Philosophical Society,1848,Member,International
John N. Conyngham,American Philosophical Society,1848,Member,Resident
Harmar Denny,American Philosophical Society,1848,Member,Resident
E. Geddings,American Philosophical Society,1848,Member,Resident
J. Melville Gilliss,American Philosophical Society,1848,Member,Resident
Asa Gray,American Philosophical Society,1848,Member,Resident
Simon Greenleaf,American Philosophical Society,1848,Member,Resident
Robert C. Grier,American Philosophical Society,1848,Member,Resident
Ralph I. Ingersoll,American Philosophical Society,1848,Member,Resident
Gustav A. Jahn,American Philosophical Society,1848,Member,International
John F. James,American Philosophical Society,1848,Member,Resident
Joel Jones,American Philosophical Society,1848,Member,Resident
William Kent,American Philosophical Society,1848,Member,Resident
