Name,Organization,Year Elected,Status,Residency
Marquis de Francois J. Chastellux,American Philosophical Society,1781,Member,International
Isaac Gray,American Philosophical Society,1781,Member,Resident
Ebenezer Hazard,American Philosophical Society,1781,Member,Resident
Jared Ingersoll,American Philosophical Society,1781,Member,Resident
Marquis de Motier Theodore Lafayette,American Philosophical Society,1781,Member,International
Hugh Shiell,American Philosophical Society,1781,Member,Resident
Chevalier d' Charles F.A. Le Paulmier Annemours,American Philosophical Society,1783,Member,International
John Beale Bordley,American Philosophical Society,1783,Member,Resident
Jean F. Coste,American Philosophical Society,1783,Member,International
Robert Davidson,American Philosophical Society,1783,Member,Resident
Felice Fontana,American Philosophical Society,1783,Member,International
Antoine Court de Gebilin,American Philosophical Society,1783,Member,International
Samuel Huntingdon,American Philosophical Society,1783,Member,Resident
Robert M. Patterson,American Philosophical Society,1783,Member,Resident
Comte Charles C. Labillarderie Angivillier,American Philosophical Society,1784,Member,International
Jeremy Belknap,American Philosophical Society,1784,Member,Resident
Peter J. Van Berckel,American Philosophical Society,1784,Member,International
Barnabas Binney,American Philosophical Society,1784,Member,Resident
Robert Blackwell,American Philosophical Society,1784,Member,Resident
Fred F.S. de Brahm,American Philosophical Society,1784,Member,International
Pedro Rodriguez Campomanes,American Philosophical Society,1784,Member,International
John Dunlap,American Philosophical Society,1784,Member,Resident
John Foulke,American Philosophical Society,1784,Member,Resident
George Fox,American Philosophical Society,1784,Member,Resident
Arch Gamble,American Philosophical Society,1784,Member,Resident
George Gray,American Philosophical Society,1784,Member,Resident
J.H.C. Helmuth,American Philosophical Society,1784,Member,Resident
Thomas Heyward,American Philosophical Society,1784,Member,Resident
Rev. Samuel Magaw,American Philosophical Society,1784,Member,Resident
John H. de Magellan,American Philosophical Society,1784,Member,International
Jonathan D. Sergeant,American Philosophical Society,1784,Member,Resident
James Six,American Philosophical Society,1784,Member,International
John Vaughan,American Philosophical Society,1784,Member,Resident
Samuel Vaughan,American Philosophical Society,1784,Member,Resident
Comte de Charles G. Vergennes,American Philosophical Society,1784,Member,International
Frederick E.F. Bertholff,American Philosophical Society,1785,Member,International
Comte de Luc Urbain du Bouexic,American Philosophical Society,1785,Member,International
William Bradford,American Philosophical Society,1785,Member,Resident
Edward Burd,American Philosophical Society,1785,Member,Resident
John Carson,American Philosophical Society,1785,Member,Resident
Adair Crawford,American Philosophical Society,1785,Member,International
Manasseh Cutler,American Philosophical Society,1785,Member,Resident
Andrew Ellicott,American Philosophical Society,1785,Member,Resident
Samuel Powel Griffiths,American Philosophical Society,1785,Member,Resident
Samuel G. Hermelin,American Philosophical Society,1785,Member,International
Sir William Herschel,American Philosophical Society,1785,Member,International
Hugh James,American Philosophical Society,1785,Member,International
Thaddeus Kosciusko,American Philosophical Society,1785,Member,International
James Madison,American Philosophical Society,1785,Member,Resident
Joseph Mandrillion,American Philosophical Society,1785,Member,International
James McHenry,American Philosophical Society,1785,Member,Resident
Christian F. Michailis,American Philosophical Society,1785,Member,International
Henry E. Muhlenberg,American Philosophical Society,1785,Member,Resident
Mann Page,American Philosophical Society,1785,Member,Resident
Thomas Paine,American Philosophical Society,1785,Member,Resident
William Parker,American Philosophical Society,1785,Member,International
Robert Perceval,American Philosophical Society,1785,Member,International
Richard Price,American Philosophical Society,1785,Member,International
Joseph Priestley,American Philosophical Society,1785,Member,International
Samuel S. Smith,American Philosophical Society,1785,Member,Resident
Jean-Baptiste Sue,American Philosophical Society,1785,Member,International
George Wall,American Philosophical Society,1785,Member,Resident
Benjamin Workman,American Philosophical Society,1785,Member,Resident
James Beattie,American Philosophical Society,1786,Member,International
Pierre J.G. Cabanis,American Philosophical Society,1786,Member,International
Conte Luigi Castiglioni,American Philosophical Society,1786,Member,International
Jacques A.C. Charles,American Philosophical Society,1786,Member,International
George Clymer,American Philosophical Society,1786,Member,International
Lorenz Crell,American Philosophical Society,1786,Member,International
Benjamin Duffield,American Philosophical Society,1786,Member,Resident
Aime A.J. Feutry,American Philosophical Society,1786,Member,International
William Temple Franklin,American Philosophical Society,1786,Member,Resident
Thibert Garbier,American Philosophical Society,1786,Member,International
Rene G. Gastelier,American Philosophical Society,1786,Member,International
Granchain,American Philosophical Society,1786,Member,International
Guillaume Grivel,American Philosophical Society,1786,Member,International
Thomas Henry,American Philosophical Society,1786,Member,International
Jonathan Hoge,American Philosophical Society,1786,Member,Resident
Jan Ingenhousz,American Philosophical Society,1786,Member,International
John Andrews,American Philosophical Society,1786,Member,Resident
Richard Kirwan,American Philosophical Society,1786,Member,International
John Morris,American Philosophical Society,1786,Member,Resident
Robert Morris,American Philosophical Society,1786,Member,Resident
Nicolas Noel,American Philosophical Society,1786,Member,International
Charles Willson Peale,American Philosophical Society,1786,Member,Resident
Thomas Percival,American Philosophical Society,1786,Member,International
Robert E. Pine,American Philosophical Society,1786,Member,Resident
William Rawle,American Philosophical Society,1786,Member,Resident
Duc de Louis A. La Rochefoucauld d'Enville,American Philosophical Society,1786,Member,International
Julien D. Le Roy,American Philosophical Society,1786,Member,International
Jean L.G. Soulavie,American Philosophical Society,1786,Member,International
Benjamin Vaughan,American Philosophical Society,1786,Member,International
Samuel Vaughan,American Philosophical Society,1786,Member,Resident
Louis G. Le Veillard,American Philosophical Society,1786,Member,International
Charles H. Wharton,American Philosophical Society,1786,Member,Resident
John Whitehurst,American Philosophical Society,1786,Member,International
William Baker,American Philosophical Society,1787,Member,International
Sir Joseph Banks,American Philosophical Society,1787,Member,International
Robert Barclay,American Philosophical Society,1787,Member,International
Thomas Barnes,American Philosophical Society,1787,Member,International
William Barton,American Philosophical Society,1787,Member,Resident
John Bayard,American Philosophical Society,1787,Member,Resident
William Bingham,American Philosophical Society,1787,Member,Resident
James Bowdoin,American Philosophical Society,1787,Member,Resident
Louis C. Cadet-Gassicourt,American Philosophical Society,1787,Member,International
Benjamin Chew,American Philosophical Society,1787,Member,Resident
Isaac Craig,American Philosophical Society,1787,Member,Resident
Enoch Edwards,American Philosophical Society,1787,Member,Resident
John Hunter,American Philosophical Society,1787,Member,International
Joseph James,American Philosophical Society,1787,Member,Resident
Francis Johnston,American Philosophical Society,1787,Member,Resident
John Johnston,American Philosophical Society,1787,Member,Resident
Charles Lennox,American Philosophical Society,1787,Member,International
John Coakley Lettsom,American Philosophical Society,1787,Member,International
Hon. John Lowell,American Philosophical Society,1787,Member,Resident
Robert Milligan,American Philosophical Society,1787,Member,Resident
Sir Edward Newenham,American Philosophical Society,1787,Member,International
Comte Louis G. Otto,American Philosophical Society,1787,Member,International
John R.B. Rodgers,American Philosophical Society,1787,Member,Resident
Thomas Ruston,American Philosophical Society,1787,Member,Resident
William W. Smith,American Philosophical Society,1787,Member,Resident
George Spence,American Philosophical Society,1787,Member,International
William Thornton,American Philosophical Society,1787,Member,International
George Vaux,American Philosophical Society,1787,Member,International
