Name,Organization,Year Elected
William Beans,Medical Society of the District of Columbia,1819
Joseph Parrish,Medical Society of the District of Columbia,1819
James Mann,Medical Society of the District of Columbia,1819
James Chauspie,Medical Society of the District of Columbia,1819
John McClellan,Medical Society of the District of Columbia,1820
Nathaniel Chapman,Medical Society of the District of Columbia,1820
Joshua Fisher,Medical Society of the District of Columbia,1820
William M. Mercer,Medical Society of the District of Columbia,1821
Nathaniel Potter,Medical Society of the District of Columbia,1821
Parker Cleveland,Medical Society of the District of Columbia,1821
John C. Warren,Medical Society of the District of Columbia,1821
Phillip S. Physick,Medical Society of the District of Columbia,1821
Thomas T. Hewson,Medical Society of the District of Columbia,1821
James Jackson,Medical Society of the District of Columbia,1821
Daniel Coney,Medical Society of the District of Columbia,1821
Benjamine Waterhouse,Medical Society of the District of Columbia,1821
Jonathan Williams,United States Military Philosophical Society,1809
Charles Cotesworth Pinkney,United States Military Philosophical Society,1809
Francis D. Mason,United States Military Philosophical Society,1809
Joseph G. Swift,United States Military Philosophical Society,1809
William Popham,United States Military Philosophical Society,1809
George Bomford,United States Military Philosophical Society,1809
Walter K. Amistead,United States Military Philosophical Society,1809
John Armstrong,United States Military Philosophical Society,1809
John Allen,United States Military Philosophical Society,1809
John Q. Adams,United States Military Philosophical Society,1809
Hannibal M. Allen,United States Military Philosophical Society,1809
John Adams,United States Military Philosophical Society,1809
John J. Albert,United States Military Philosophical Society,1809
James A. Bayard,United States Military Philosophical Society,1809
Samuel Babcock,United States Military Philosophical Society,1809
Henry Burbeck,United States Military Philosophical Society,1809
Joel Barlow,United States Military Philosophical Society,1809
Joseph Bloomfield,United States Military Philosophical Society,1809
Clement Biddle,United States Military Philosophical Society,1809
William R. Bootes,United States Military Philosophical Society,1809
Charles Biddle,United States Military Philosophical Society,1809
Stephen R. Bradley,United States Military Philosophical Society,1809
Lloyd Beall,United States Military Philosophical Society,1809
Joseph Blyth,United States Military Philosophical Society,1809
John Bullus,United States Military Philosophical Society,1809
James M. Brown,United States Military Philosophical Society,1809
Daniel A.A. Buck,United States Military Philosophical Society,1809
William Bainbridge,United States Military Philosophical Society,1809
John Brooks,United States Military Philosophical Society,1809
M.V. Boisaubin,United States Military Philosophical Society,1809
Robert Bogardus,United States Military Philosophical Society,1809
William C.C. Claiborne,United States Military Philosophical Society,1809
George Clinton,United States Military Philosophical Society,1809
De Witt Clinton,United States Military Philosophical Society,1809
Thomas H. Cushing,United States Military Philosophical Society,1809
Daniel Clark,United States Military Philosophical Society,1809
William Crane,United States Military Philosophical Society,1809
Philip Van Cortland,United States Military Philosophical Society,1809
Joseph Cortland,United States Military Philosophical Society,1809
Joseph Clay,United States Military Philosophical Society,1809
Eli B. Clemson,United States Military Philosophical Society,1809
John Cassin,United States Military Philosophical Society,1809
David Cobb,United States Military Philosophical Society,1809
Isaac Chauncey,United States Military Philosophical Society,1809
Samuel Champlain,United States Military Philosophical Society,1809
Thomas Caldwallader,United States Military Philosophical Society,1809
Joseph Constant,United States Military Philosophical Society,1809
Charles Clinton,United States Military Philosophical Society,1809
William Cutting,United States Military Philosophical Society,1809
William Cutbush,United States Military Philosophical Society,1809
Henry Dearborne,United States Military Philosophical Society,1809
Stephen Decatur,United States Military Philosophical Society,1809
Benjamin Dearborn,United States Military Philosophical Society,1809
Jonathan Dayton,United States Military Philosophical Society,1809
John Davie,United States Military Philosophical Society,1809
William Dessaussure,United States Military Philosophical Society,1809
Samuel W. Dana,United States Military Philosophical Society,1809
Joseph Dunham,United States Military Philosophical Society,1809
John H. Dent,United States Military Philosophical Society,1809
William Eustis,United States Military Philosophical Society,1809
Samuel Evans,United States Military Philosophical Society,1809
William Eaton,United States Military Philosophical Society,1809
Thomas B. Earle,United States Military Philosophical Society,1809
John R. Fenwick,United States Military Philosophical Society,1809
Constant Freeman,United States Military Philosophical Society,1809
George Fleming,United States Military Philosophical Society,1809
Nehemiah Freeman,United States Military Philosophical Society,1809
Robert Fulton,United States Military Philosophical Society,1809
James Fairley,United States Military Philosophical Society,1809
Ioachim Ferrere,United States Military Philosophical Society,1809
Dr. Findlay,United States Military Philosophical Society,1809
Charles Gratiot,United States Military Philosophical Society,1809
John Garnet,United States Military Philosophical Society,1809
Peter Gansevoort,United States Military Philosophical Society,1809
Nicholas Gilman,United States Military Philosophical Society,1809
John F. Grimke,United States Military Philosophical Society,1809
George Gibbs,United States Military Philosophical Society,1809
Christopher Gadsden,United States Military Philosophical Society,1809
Charles Gordon,United States Military Philosophical Society,1809
Abijah Hammond,United States Military Philosophical Society,1809
David Humphreys,United States Military Philosophical Society,1809
William Hull,United States Military Philosophical Society,1809
William Henry Harrison,United States Military Philosophical Society,1809
John Hall,United States Military Philosophical Society,1809
John Hubbard,United States Military Philosophical Society,1809
Ferdinand Rudolph Hassler,United States Military Philosophical Society,1809
Paul Hamilton,United States Military Philosophical Society,1809
Capt. Howard,United States Military Philosophical Society,1809
Andrew Hazel,United States Military Philosophical Society,1809
Archibald Henderson,United States Military Philosophical Society,1809
Wade Hampton,United States Military Philosophical Society,1809
Robert Goodloe Harper,United States Military Philosophical Society,1809
Benjamin Huger,United States Military Philosophical Society,1809
Francis Huger,United States Military Philosophical Society,1809
Isaac Hull,United States Military Philosophical Society,1809
Theodore Hunt,United States Military Philosophical Society,1809
George Izard,United States Military Philosophical Society,1809
Ralph Izard,United States Military Philosophical Society,1809
Thomas Jefferson,United States Military Philosophical Society,1809
John Johnson,United States Military Philosophical Society,1809
Jacob Jones,United States Military Philosophical Society,1809
Jacob Kingsbury,United States Military Philosophical Society,1809
Francis Kinloch,United States Military Philosophical Society,1809
Benjamin Latrobe,United States Military Philosophical Society,1809
Benjamin Lincoln,United States Military Philosophical Society,1809
John Langdon,United States Military Philosophical Society,1809
Tobias Lear,United States Military Philosophical Society,1809
Robert R. Livingston,United States Military Philosophical Society,1809
David Lenox,United States Military Philosophical Society,1809
Lawrence Lewis,United States Military Philosophical Society,1809
Lebbeus Loomis,United States Military Philosophical Society,1809
Charles Ludlow,United States Military Philosophical Society,1809
James Lawrence,United States Military Philosophical Society,1809
Louis Le Cesne,United States Military Philosophical Society,1809
W.C. Leffingwell,United States Military Philosophical Society,1809
Jared Mansfield,United States Military Philosophical Society,1809
Alexander Macomb,United States Military Philosophical Society,1809
William McRee,United States Military Philosophical Society,1809
James Madison,United States Military Philosophical Society,1809
Jacob Morton,United States Military Philosophical Society,1809
Thomas McKean,United States Military Philosophical Society,1809
William McPherson,United States Military Philosophical Society,1809
John Marshall,United States Military Philosophical Society,1809
Samuel L. Mitchel,United States Military Philosophical Society,1809
James Munroe,United States Military Philosophical Society,1809
John Milledge,United States Military Philosophical Society,1809
William McCreery,United States Military Philosophical Society,1809
Jonathan Mason,United States Military Philosophical Society,1809
Alexander Murray,United States Military Philosophical Society,1809
Lt. Maclay,United States Military Philosophical Society,1809
Robert Macomb,United States Military Philosophical Society,1809
Clarence Mulford,United States Military Philosophical Society,1809
John W. Mulligan,United States Military Philosophical Society,1809
John R. Murray,United States Military Philosophical Society,1809
Julian U. Niemcewicz,United States Military Philosophical Society,1809
William North,United States Military Philosophical Society,1809
William Popham,United States Military Philosophical Society,1809
Ninian Pinkney,United States Military Philosophical Society,1809
Alden Partridge,United States Military Philosophical Society,1809
William Partridge,United States Military Philosophical Society,1809
Robert Patton,United States Military Philosophical Society,1809
Thomas Pinkney,United States Military Philosophical Society,1809
Moses Porter,United States Military Philosophical Society,1809
Zebulon Pike,United States Military Philosophical Society,1809
Justus Post,United States Military Philosophical Society,1809
David Porter,United States Military Philosophical Society,1809
Oliver. M. Perry,United States Military Philosophical Society,1809
William Pinkney,United States Military Philosophical Society,1809
Josiah Quincy,United States Military Philosophical Society,1809
John Rutledge,United States Military Philosophical Society,1809
Jacob Read,United States Military Philosophical Society,1809
Solomon Van Ransellaer,United States Military Philosophical Society,1809
Thomas M. Randolph,United States Military Philosophical Society,1809
David Ramsay,United States Military Philosophical Society,1809
James Ricketts,United States Military Philosophical Society,1809
Hezekiah Rogers,United States Military Philosophical Society,1809
K. Van Ranselaer,United States Military Philosophical Society,1809
Edward De Russy,United States Military Philosophical Society,1809
Jonathan Rogers,United States Military Philosophical Society,1809
Robert Rankin,United States Military Philosophical Society,1809
John H. Robinson,United States Military Philosophical Society,1809
Ebenezer Stevens,United States Military Philosophical Society,1809
Louis Simond,United States Military Philosophical Society,1809
Caleb Strong,United States Military Philosophical Society,1809
Samuel Smith,United States Military Philosophical Society,1809
Robert Smith,United States Military Philosophical Society,1809
Arthur St. Clair,United States Military Philosophical Society,1809
William Short,United States Military Philosophical Society,1809
Daniel Stevens,United States Military Philosophical Society,1809
John Saunders,United States Military Philosophical Society,1809
Thomas Sumter,United States Military Philosophical Society,1809
Forest Swift,United States Military Philosophical Society,1809
William L. Smith,United States Military Philosophical Society,1809
Benjamin Smith,United States Military Philosophical Society,1809
Amos Stoddard,United States Military Philosophical Society,1809
Nathaniel Smith,United States Military Philosophical Society,1809
James S. Swearengen,United States Military Philosophical Society,1809
James Simons,United States Military Philosophical Society,1809
John Smith,United States Military Philosophical Society,1809
Charles Steward,United States Military Philosophical Society,1809
Arthur Sinclair,United States Military Philosophical Society,1809
John Tayloe,United States Military Philosophical Society,1809
Thomas Tillotson,United States Military Philosophical Society,1809
John Trumbull,United States Military Philosophical Society,1809
Thomas Truxtun,United States Military Philosophical Society,1809
Thomas T. Tucker,United States Military Philosophical Society,1809
Thomas T. Tucker,United States Military Philosophical Society,1809
Thomas Tingey,United States Military Philosophical Society,1809
Joseph G. Totten,United States Military Philosophical Society,1809
Daniel D. Tompkins,United States Military Philosophical Society,1809
Sylvanus Thayer,United States Military Philosophical Society,1809
Louis de Tousard,United States Military Philosophical Society,1809
John Trippe,United States Military Philosophical Society,1809
John Vaughan,United States Military Philosophical Society,1809
Hyppolite Villard,United States Military Philosophical Society,1809
James Wilkinson,United States Military Philosophical Society,1809
John B. Walbach,United States Military Philosophical Society,1809
Bushrod Washington,United States Military Philosophical Society,1809
Richard Whiley,United States Military Philosophical Society,1809
Franklin Wharton,United States Military Philosophical Society,1809
Samuel Webber,United States Military Philosophical Society,1809
Prentice Willard,United States Military Philosophical Society,1809
William Washington,United States Military Philosophical Society,1809
Alexander J. Williams,United States Military Philosophical Society,1809
Marinus Willet,United States Military Philosophical Society,1809
Eli Whitney,United States Military Philosophical Society,1809
Charles Wilkes,United States Military Philosophical Society,1809
Peter W. Winthrop,United States Military Philosophical Society,1809
John Williams,United States Military Philosophical Society,1809
Philip Wederstrandt,United States Military Philosophical Society,1809
M.J. Woolsey,United States Military Philosophical Society,1809
Charles E. Zoeller,United States Military Philosophical Society,1809
E. R. Baudoine,Lyceum of Natural History,1817
James Clements,Lyceum of Natural History,1817
Francis Morton,Lyceum of Natural History,1817
Jacob Dyckman,Lyceum of Natural History,1817
William S. Irving,Lyceum of Natural History,1817
Benjamin U. Coles,Lyceum of Natural History,1817
J.S. Watkins,Lyceum of Natural History,1817
Samuel L. Mitchill,Lyceum of Natural History,1817
Nathaniel Paulding,Lyceum of Natural History,1817
William Cooper,Lyceum of Natural History,1817
William Cumberland,Lyceum of Natural History,1817
John Torrey,Lyceum of Natural History,1817
John B. Beck,Lyceum of Natural History,1817
P.S. Townsend,Lyceum of Natural History,1817
John W. Francis,Lyceum of Natural History,1817
J. Le Counte,Lyceum of Natural History,1817
William Swift,Lyceum of Natural History,1817
F.C. Shaeffer,Lyceum of Natural History,1817
B.p. Kissam,Lyceum of Natural History,1817
John Anthon,Lyceum of Natural History,1817
Henry Gahn,Lyceum of Natural History,1817
Samuel Akerly,Lyceum of Natural History,1817
John Watts,Lyceum of Natural History,1818
O. Bronson,Lyceum of Natural History,1818
Abraham Halsey,Lyceum of Natural History,1818
Gulian C. Verplanck,Lyceum of Natural History,1818
James E. De Kay,Lyceum of Natural History,1819
D. H. Barnes,Lyceum of Natural History,1819
B.R Greenland,Lyceum of Natural History,1817
Lewis C. Beck,Lyceum of Natural History,1817
J. Roane,Lyceum of Natural History,1817
Thomas Harris,Lyceum of Natural History,1817
Constantine Samuel Rafinesque,Lyceum of Natural History,1817
D.B. Douglass,Lyceum of Natural History,1817
John P. Brace,Lyceum of Natural History,1817
D.C. Verplanck,Lyceum of Natural History,1817
Ebenezer Kellogg,Lyceum of Natural History,1817
John Bradbury,Lyceum of Natural History,1817
Caleb Atwater,Lyceum of Natural History,1817
R.B. Owen,Lyceum of Natural History,1817
T. Romeyn,Lyceum of Natural History,1817
Amos Eaton,Lyceum of Natural History,1817
Chester Dewey,Lyceum of Natural History,1817
J. De la Motta,Lyceum of Natural History,1817
Professor Del Rio,Lyceum of Natural History,1817
J.J. Robertson,Lyceum of Natural History,1817
Moses Hale,Lyceum of Natural History,1818
Felix L'Herminier,Lyceum of Natural History,1818
Eli Burrill,Lyceum of Natural History,1818
Jacob Porter,Lyceum of Natural History,1818
J.W. Webster,Lyceum of Natural History,1819
Henry R. Schoolcraft,Lyceum of Natural History,1819
Joseph Correa de Serra,Lyceum of Natural History,1817
Thomas Jefferson,Lyceum of Natural History,1817
Professor H. Castrom,Lyceum of Natural History,1817
Professor Somme,Lyceum of Natural History,1817
Zaccheus Collins,Lyceum of Natural History,1817
Joseph G. Swift,Lyceum of Natural History,1817
William J. Macneven,Lyceum of Natural History,1817
Bracy Clark,Lyceum of Natural History,1817
Stephen Elliott,Lyceum of Natural History,1817
C.A. Lesueur,Lyceum of Natural History,1817
Jacob Bigelow,Lyceum of Natural History,1817
James Edward Smith,Lyceum of Natural History,1817
Jamies Monroe,Lyceum of Natural History,1817
Aug. Pyr. De Candolle,Lyceum of Natural History,1817
Gaetano Savi,Lyceum of Natural History,1817
Robert Brown,Lyceum of Natural History,1817
Hoffman Bang,Lyceum of Natural History,1817
Charles Willson Peale,Lyceum of Natural History,1817
Aylmer Bourke Lambert,Lyceum of Natural History,1817
Abbe Hauy,Lyceum of Natural History,1817
G.C. Knapp,Lyceum of Natural History,1817
Stephen Harriman Long,Lyceum of Natural History,1817
Baron Bivona,Lyceum of Natural History,1817
De Witt Clinton,Lyceum of Natural History,1818
David Hosack,Lyceum of Natural History,1818
Benjamin Silliman,Lyceum of Natural History,1819
Jules Cloquet,Lyceum of Natural History,1819
Parker Cleaveland,Lyceum of Natural History,1819
J. J. Abert,Academy of Natural Sciences,1823
N. S. Allison,Academy of Natural Sciences,1813
John Barnes,Academy of Natural Sciences,1812
Edward Barton,Academy of Natural Sciences,1815
Charles N. Bancker,Academy of Natural Sciences,1824
Alexander Dallas Bache,Academy of Natural Sciences,1829
James N. Barker,Academy of Natural Sciences,1834
Charles Frederick Beck,Academy of Natural Sciences,1827
Thomas Forest Betton,Academy of Natural Sciences,1828
Baron de Behr,Academy of Natural Sciences,1836
Nicholas Biddle,Academy of Natural Sciences,1818
Edward C. Biddle,Academy of Natural Sciences,1834
William Y. Birch,Academy of Natural Sciences,1823
William N. Bispham,Academy of Natural Sciences,1834
William Blanding,Academy of Natural Sciences,1831
Charles Lucian Bonaparte,Academy of Natural Sciences,1824
George T. Bowen,Academy of Natural Sciences,1822
Conrad R. Boyer,Academy of Natural Sciences,1836
Thomas Latimer Bowie,Academy of Natural Sciences,1836
Moses Brown,Academy of Natural Sciences,1817
Henry Bond,Academy of Natural Sciences,1830
John M. Brewer,Academy of Natural Sciences,1824
James Bryan,Academy of Natural Sciences,1834
Robert Bridges,Academy of Natural Sciences,1835
M. Burrough,Academy of Natural Sciences,1830
Caleb Carmalt,Academy of Natural Sciences,1817
George W. Carpenter,Academy of Natural Sciences,1825
Joseph Carson,Academy of Natural Sciences,1833
A. D. Chaloner,Academy of Natural Sciences,1836
Heber Chase,Academy of Natural Sciences,1836
Edward Clark,Academy of Natural Sciences,1816
J. Y. Clark,Academy of Natural Sciences,1826
Cleaver,Academy of Natural Sciences,1817
Benjamin H. Coates,Academy of Natural Sciences,1815
Reynell Coates,Academy of Natural Sciences,1830
Solomon W. Conrad,Academy of Natural Sciences,1826
Timothy Abbot Conrad,Academy of Natural Sciences,1831
Joseph Correa de Serra,Academy of Natural Sciences,1814
Zaccheus Collins,Academy of Natural Sciences,1815
Rudolph Deitz,Academy of Natural Sciences,1821
Judah Dobson,Academy of Natural Sciences,1833
Edmund Draper,Academy of Natural Sciences,1834
J. H. Dulles,Academy of Natural Sciences,1816
Nathan Dunn,Academy of Natural Sciences,1831
John Eberle,Academy of Natural Sciences,1819
Frederick S. Eckard,Academy of Natural Sciences,1836
Levi Ellmaker,Academy of Natural Sciences,1829
Alfred Langdon Elwyn,Academy of Natural Sciences,1831
Joseph Fisher,Academy of Natural Sciences,1821
Thomas Fisher,Academy of Natural Sciences,1824
J. K. Finley,Academy of Natural Sciences,1828
Thomas Fletcher,Academy of Natural Sciences,1836
William Augustus Foster,Academy of Natural Sciences,1833
Hudson S. Foster,Academy of Natural Sciences,1834
George Fox,Academy of Natural Sciences,1836
Robert Frazer,Academy of Natural Sciences,1814
John F. Frazer,Academy of Natural Sciences,1835
W. W. Gerhard,Academy of Natural Sciences,1835
Jacob Gilliams,Academy of Natural Sciences,1812
William P. Gibbons,Academy of Natural Sciences,1833
John D. Godman,Academy of Natural Sciences,1821
Paul Beck Goddard,Academy of Natural Sciences,1829
John L. Goddard,Academy of Natural Sciences,1836
Robert Eglesfield Griffith,Academy of Natural Sciences,1815
Samuel S. Griscom,Academy of Natural Sciences,1830
Samuel W. Gumbs,Academy of Natural Sciences,1834
Reuben Haines,Academy of Natural Sciences,1813
Robert Hare,Academy of Natural Sciences,1813
Clark Hare,Academy of Natural Sciences,1835
Richard Harlan,Academy of Natural Sciences,1815
Isaac Hays,Academy of Natural Sciences,1818
George Hagner,Academy of Natural Sciences,1815
Samuel Hazard,Academy of Natural Sciences,1815
Edward Harris,Academy of Natural Sciences,1835
Edward Hallowell,Academy of Natural Sciences,1834
William Hembel,Academy of Natural Sciences,1825
Charles Hedelius,Academy of Natural Sciences,1824
N. M. Hentz,Academy of Natural Sciences,1829
C. Hering,Academy of Natural Sciences,1829
M. Hersant,Academy of Natural Sciences,1836
S. C. C. Horsfield,Academy of Natural Sciences,1830
Charles Huffnagle,Academy of Natural Sciences,1830
Thomas C. James,Academy of Natural Sciences,1814
Samuel Jaudon,Academy of Natural Sciences,1836
Augustus E. Jessup,Academy of Natural Sciences,1818
Thomas P. Jones,Academy of Natural Sciences,1812
Walter R. Johnson,Academy of Natural Sciences,1827
William P. Johnson,Academy of Natural Sciences,1835
William H. Keating,Academy of Natural Sciences,1816
L. Allen Key,Academy of Natural Sciences,1833
William Kneass,Academy of Natural Sciences,1814
R. La Roche,Academy of Natural Sciences,1823
John Land,Academy of Natural Sciences,1836
Isaac Lea,Academy of Natural Sciences,1815
John Lea Jr.,Academy of Natural Sciences,1815
C. A. Lesueur,Academy of Natural Sciences,1818
Joshua Longstreth,Academy of Natural Sciences,1815
Isaiah Lukens,Academy of Natural Sciences,1812
Camilltis M. Mann,Academy of Natural Sciences,1812
George A. Madeira,Academy of Natural Sciences,1814
William Maclure,Academy of Natural Sciences,1812
Thomas McEuen,Academy of Natural Sciences,1818
Charles McEuen,Academy of Natural Sciences,1834
Henry McMurtrie,Academy of Natural Sciences,1833
James A. McCrea,Academy of Natural Sciences,1833
John K. Mitchill,Academy of Natural Sciences,1822
John Millington,Academy of Natural Sciences,1832
A. F. E. Mickle,Academy of Natural Sciences,1831
George Mifflin,Academy of Natural Sciences,1835
Samuel George Morton,Academy of Natural Sciences,1820
Caspar Morris,Academy of Natural Sciences,1829
Chevalier Morelli,Academy of Natural Sciences,1836
Thomas D. Mutter,Academy of Natural Sciences,1833
"William Norris, Jr.",Academy of Natural Sciences,1830
George W. Norris,Academy of Natural Sciences,1836
Thomas Nuttall,Academy of Natural Sciences,1817
George Ord,Academy of Natural Sciences,1815
N. S. Parmentier,Academy of Natural Sciences,1812
R. M. Patterson,Academy of Natural Sciences,1816
Titian R. Peale,Academy of Natural Sciences,1817
Rubens Peale,Academy of Natural Sciences,1813
Jacob Pierce,Academy of Natural Sciences,1813
Caspar Wistar Pennock,Academy of Natural Sciences,1824
Robert E. Peterson,Academy of Natural Sciences,1831
S. S. Penrose,Academy of Natural Sciences,1830
Robert Pearsall,Academy of Natural Sciences,1835
John S. Phillips,Academy of Natural Sciences,1836
Charles Pickering,Academy of Natural Sciences,1827
Charles A. Poulson,Academy of Natural Sciences,1823
R. Robinson Porter,Academy of Natural Sciences,1833
Jonas Preston,Academy of Natural Sciences,1824
Richard Randolph,Academy of Natural Sciences,1814
C. S. Rafinesque,Academy of Natural Sciences,1816
James Read,Academy of Natural Sciences,1824
M. M. Reeve,Academy of Natural Sciences,1831
Caleb Richardson,Academy of Natural Sciences,1814
Edward Florens Rivinus,Academy of Natural Sciences,1834
Joseph Rotch,Academy of Natural Sciences,1814
Thomas Rotch,Academy of Natural Sciences,1816
Henry D. Rogers,Academy of Natural Sciences,1833
A. S. Roberts,Academy of Natural Sciences,1836
Thomas Ryan,Academy of Natural Sciences,1836
Thomas Say,Academy of Natural Sciences,1812
Benjamin Say,Academy of Natural Sciences,1813
Henry Seybert,Academy of Natural Sciences,1828
"John Shinn, Jr.",Academy of Natural Sciences,1812
Benjamin Shoemaker,Academy of Natural Sciences,1825
John Simmons,Academy of Natural Sciences,1835
Samuel Snelling,Academy of Natural Sciences,1836
Charles W. Smith,Academy of Natural Sciences,1835
Jacob R. Smith,Academy of Natural Sciences,1815
Joseph P. Smith,Academy of Natural Sciences,1826
John C. Smith,Academy of Natural Sciences,1834
John Speakman,Academy of Natural Sciences,1812
George Spackman,Academy of Natural Sciences,1825
Joseph Slouse,Academy of Natural Sciences,1812
William Stewart,Academy of Natural Sciences,1823
Thomas Slewardson,Academy of Natural Sciences,1836
E. B. Siocldoiu,Academy of Natural Sciences,1815
Daniel Sleinhaur,Academy of Natural Sciences,1829
Edward Swain,Academy of Natural Sciences,1832
O. H. Taylor,Academy of Natural Sciences,1832
J. Edgar Thompson,Academy of Natural Sciences,1831
John Kirk Townsend,Academy of Natural Sciences,1833
G. Troost,Academy of Natural Sciences,1812
James Trudcau,Academy of Natural Sciences,1815
Frederick Turnpenny,Academy of Natural Sciences,1833
John B. Tuft,Academy of Natural Sciences,1836
Lardner Vanuxcm,Academy of Natural Sciences,1815
John Vaughan,Academy of Natural Sciences,1822
Robert Vaux,Academy of Natural Sciences,1814
William S. Vaux,Academy of Natural Sciences,1834
Benjamin Warner,Academy of Natural Sciences,1814
F. Waterhoase,Academy of Natural Sciences,1814
William S. Warder,Academy of Natural Sciences,1814
William Wagner,Academy of Natural Sciences,1815
Tobias Wagner,Academy of Natural Sciences,1818
Joseph Watson,Academy of Natural Sciences,1816
N. A. Ware,Academy of Natural Sciences,1826
Thomas T. Walters,Academy of Natural Sciences,1835
Maxwell Walker,Academy of Natural Sciences,1836
John Price Wethcrill,Academy of Natural Sciences,1817
William Wetherill,Academy of Natural Sciences,1824
Charles Wetherill,Academy of Natural Sciences,1830
Alexander Wilson,Academy of Natural Sciences,1813
Thomas B. Wilson,Academy of Natural Sciences,1832
Richard Wistar,Academy of Natural Sciences,1831
Joseph Woolens,Academy of Natural Sciences,1815
William W. Wood,Academy of Natural Sciences,1825
George B. Wood,Academy of Natural Sciences,1824
George Zantzinger,Academy of Natural Sciences,1835
E. Abadie,Academy of Natural Sciences,1836
Don Pedro Abadie,Academy of Natural Sciences,1821
Robert Adrain,Academy of Natural Sciences,1815
Charles Adolphus Agardh,Academy of Natural Sciences,1834
Louis Agassiz,Academy of Natural Sciences,1836
John Gould Anthony,Academy of Natural Sciences,1833
John James Audubon,Academy of Natural Sciences,1831
M. Victor Audouin,Academy of Natural Sciences,1821
Don Pedro Alessandro,Academy of Natural Sciences,1835
William Bartram,Academy of Natural Sciences,1812
William Baldwin,Academy of Natural Sciences,1817
Joseph Barabino,Academy of Natural Sciences,1831
John Bachman,Academy of Natural Sciences,1832
Thomas Bedwell,Academy of Natural Sciences,1812
A. Bellin,Academy of Natural Sciences,1812
Samuel Betton,Academy of Natural Sciences,1815
T. Romeyn Beck,Academy of Natural Sciences,1816
M. F. S. Beudant,Academy of Natural Sciences,1821
Robert Best,Academy of Natural Sciences,1823
M. Bellingeri,Academy of Natural Sciences,1826
J. Jacob Berzelius,Academy of Natural Sciences,1826
M. Elie de Beaumont,Academy of Natural Sciences,1833
Lewis C. Beck,Academy of Natural Sciences,1833
Thomas Bell,Academy of Natural Sciences,1834
M. Jules Bellot,Academy of Natural Sciences,1836
Amos Binney,Academy of Natural Sciences,1836
Robert Bickley,Academy of Natural Sciences,1816
John J. Bigsby,Academy of Natural Sciences,1820
Shubel Blanding,Academy of Natural Sciences,1836
William Blanding,Academy of Natural Sciences,1836
M. H. Ducrotay de Blainville,Academy of Natural Sciences,1817
Francesco Bonelli,Academy of Natural Sciences,1815
M. Amicus Borie,Academy of Natural Sciences,1821
M. Ami Boue,Academy of Natural Sciences,1830
William John Broderip,Academy of Natural Sciences,1836
David Brewster,Academy of Natural Sciences,1822
Lewis Brantz,Academy of Natural Sciences,1819
M. Adolphe Brongniart,Academy of Natural Sciences,1821
M. Alexandre Brongniart,Academy of Natural Sciences,1812
Archibald Bruce,Academy of Natural Sciences,1812
John Bradbury,Academy of Natural Sciences,1817
Samuel Brown,Academy of Natural Sciences,1818
William Buckland,Academy of Natural Sciences,1822
John H. Burr,Academy of Natural Sciences,1829
Jose Maria Bustamente,Academy of Natural Sciences,1829
William J. Burchell,Academy of Natural Sciences,1835
M. Adrian Camper,Academy of Natural Sciences,1821
Robert Carr,Academy of Natural Sciences,1816
Lewis Cass,Academy of Natural Sciences,1831
J. N. Casanova,Academy of Natural Sciences,1834
T. P. Cautley,Academy of Natural Sciences,1836
Isaac Chapman,Academy of Natural Sciences,1813
John George Children,Academy of Natural Sciences,1836
Jacob Cist,Academy of Natural Sciences,1816
Parker Cleaveland,Academy of Natural Sciences,1812
Dewitt Clinton,Academy of Natural Sciences,1815
John D. Clifford,Academy of Natural Sciences,1816
M. Jules Cloquet,Academy of Natural Sciences,1818
M. le Baron de Collens,Academy of Natural Sciences,1818
William Cooper,Academy of Natural Sciences,1828
Thomas Cooper,Academy of Natural Sciences,1812
Lewis Le Conte,Academy of Natural Sciences,1815
John Le Conte,Academy of Natural Sciences,1815
Joseph H. Cogswell,Academy of Natural Sciences,1816
Luigi Colla,Academy of Natural Sciences,1822
J. J. Cohen,Academy of Natural Sciences,1833
James S. Craft,Academy of Natural Sciences,1831
H. B. Croom,Academy of Natural Sciences,1835
Charles Cramer,Academy of Natural Sciences,1834
John Curtis,Academy of Natural Sciences,1836
M. le Baron Cuvier,Academy of Natural Sciences,1818
M. Frederick Cuvier,Academy of Natural Sciences,1818
John Davis,Academy of Natural Sciences,1812
Samuel L. Dana,Academy of Natural Sciences,1815
James D. Dana,Academy of Natural Sciences,1836
William Darlington,Academy of Natural Sciences,1818
M. Anselme Gaetan Desmarest,Academy of Natural Sciences,1817
James E. Dekay,Academy of Natural Sciences,1821
Gaspard Deabbate,Academy of Natural Sciences,1823
M. Andres del Rio,Academy of Natural Sciences,1829
M. G. P. Dehayes,Academy of Natural Sciences,1832
Chester Dewey,Academy of Natural Sciences,1832
Henry Thomas De la Beche,Academy of Natural Sciences,1832
Lewis Weston Dillwyn,Academy of Natural Sciences,1815
C. Doddridge,Academy of Natural Sciences,1812
Johan Wolfgang Doebreiner,Academy of Natural Sciences,1830
Daniel Drake,Academy of Natural Sciences,1812
M. A. Drappier,Academy of Natural Sciences,1824
John W. Draper,Academy of Natural Sciences,1836
M. Duclos,Academy of Natural Sciences,1833
Thomas Duncan,Academy of Natural Sciences,1816
M. Constant Dumeril,Academy of Natural Sciences,1818
