Name,Organization,Year Elected
Joseph Banks,American Academy of Arts and Sciences,1788
George Cabot,American Academy of Arts and Sciences,1788
Jean Dominque Cassini,American Academy of Arts and Sciences,1788
Johann Jacob Hemmer,American Academy of Arts and Sciences,1788
William Herschel,American Academy of Arts and Sciences,1788
Thomas Hornsby,American Academy of Arts and Sciences,1788
Charles Hutton,American Academy of Arts and Sciences,1788
John Coakley Lettsom,American Academy of Arts and Sciences,1788
Nevil Maskelyne,American Academy of Arts and Sciences,1788
Nicholas Pike,American Academy of Arts and Sciences,1788
Joseph Pope,American Academy of Arts and Sciences,1788
Benjamin Rush,American Academy of Arts and Sciences,1788
Thomas Russell,American Academy of Arts and Sciences,1788
Winthrop Sargent,American Academy of Arts and Sciences,1788
Jonathan Stokes,American Academy of Arts and Sciences,1788
Richard Watson,American Academy of Arts and Sciences,1788
"Pedro Francisco Jimenez de Gongora y Lujan, Duque deAlmodovar del Rio",American Academy of Arts and Sciences,1789
Nathaniel Walker Appleton,American Academy of Arts and Sciences,1789
William Baylies,American Academy of Arts and Sciences,1789
Charles Blagden,American Academy of Arts and Sciences,1789
Jacques Pierre Brissot de Warville,American Academy of Arts and Sciences,1789
Antoine Marie Cerisier,American Academy of Arts and Sciences,1789
Samuel Danforth,American Academy of Arts and Sciences,1789
Charles William Frederick Dumas,American Academy of Arts and Sciences,1789
John Haygarth,American Academy of Arts and Sciences,1789
Edmund Jennings,American Academy of Arts and Sciences,1789
Richard Kirwan,American Academy of Arts and Sciences,1789
Jean Luzac,American Academy of Arts and Sciences,1789
Archibald Maclaine,American Academy of Arts and Sciences,1789
George Richards Minot,American Academy of Arts and Sciences,1789
Thomas Percival,American Academy of Arts and Sciences,1789
Frederik Willem Pestel,American Academy of Arts and Sciences,1789
Samuel Webber,American Academy of Arts and Sciences,1790
Joseph Philippe de'Etombe,American Academy of Arts and Sciences,1790
Solomon Drown,American Academy of Arts and Sciences,1790
George Erving,American Academy of Arts and Sciences,1790
John Howard,American Academy of Arts and Sciences,1790
Johann Wilhelm Karl Adolph Freiherr Hupsch,American Academy of Arts and Sciences,1790
John Jay,American Academy of Arts and Sciences,1790
Samuel Kirkland,American Academy of Arts and Sciences,1790
John Lathrop,American Academy of Arts and Sciences,1790
Samuel Shaw,American Academy of Arts and Sciences,1790
Grimur Jonsson Thorkelin,American Academy of Arts and Sciences,1790
Robert Young,American Academy of Arts and Sciences,1790
Charles Bulfinch,American Academy of Arts and Sciences,1791
John Singleton Copley,American Academy of Arts and Sciences,1791
John Cranch,American Academy of Arts and Sciences,1791
Samuel Dexter,American Academy of Arts and Sciences,1791
Alexander Hamilton,American Academy of Arts and Sciences,1791
William Paine,American Academy of Arts and Sciences,1791
John Pickering,American Academy of Arts and Sciences,1791
Nathan Read,American Academy of Arts and Sciences,1791
Increase Sumner,American Academy of Arts and Sciences,1791
Samuel Tenney,American Academy of Arts and Sciences,1791
John Trumbull,American Academy of Arts and Sciences,1791
John Trumbull,American Academy of Arts and Sciences,1791
Benjamin West,American Academy of Arts and Sciences,1791
John Davis,American Academy of Arts and Sciences,1792
Marie Jean Antoine Nicolas Cariat Condorcet,American Academy of Arts and Sciences,1792
William Hamilton,American Academy of Arts and Sciences,1792
Joseph Lathrop,American Academy of Arts and Sciences,1792
John Mellen Jr.,American Academy of Arts and Sciences,1792
Fisher Ames,American Academy of Arts and Sciences,1793
Benjamin Smith Barton,American Academy of Arts and Sciences,1793
Oliver Everett,American Academy of Arts and Sciences,1793
James Freeman,American Academy of Arts and Sciences,1793
William Dandridge Peck,American Academy of Arts and Sciences,1793
Nathaniel Appleton,American Academy of Arts and Sciences,1794
Johann Friedrich Blumenbach,American Academy of Arts and Sciences,1794
Benjamin Dearborn,American Academy of Arts and Sciences,1794
James Madison,American Academy of Arts and Sciences,1794
Louis Valentin,American Academy of Arts and Sciences,1794
Charles Vaughan,American Academy of Arts and Sciences,1794
Benjamin Waterhouse,American Academy of Arts and Sciences,1795
Thomas Dawes,American Academy of Arts and Sciences,1795
Thomas Welsh,American Academy of Arts and Sciences,1795
Thomas Brattle,American Academy of Arts and Sciences,1796
Christopher Gore,American Academy of Arts and Sciences,1796
Joseph McKeen,American Academy of Arts and Sciences,1796
Jedidiah Morse,American Academy of Arts and Sciences,1796
Isaac Rand,American Academy of Arts and Sciences,1796
William Spooner,American Academy of Arts and Sciences,1796
David Tappan,American Academy of Arts and Sciences,1796
Peter Thacher,American Academy of Arts and Sciences,1796
John Quincy Adams,American Academy of Arts and Sciences,1797
Edward Bancroft,American Academy of Arts and Sciences,1797
Timothy Dwight,American Academy of Arts and Sciences,1797
John Haliburton,American Academy of Arts and Sciences,1797
Samuel Latham Mitchill,American Academy of Arts and Sciences,1797
John Sinclair,American Academy of Arts and Sciences,1797
Thomas Barnard,American Academy of Arts and Sciences,1798
Theophilus Bradbury,American Academy of Arts and Sciences,1798
Mather Brown,American Academy of Arts and Sciences,1798
Franz Xaver von Zach,American Academy of Arts and Sciences,1798
Nathaniel Bowditch,American Academy of Arts and Sciences,1799
John Thornton Kirkland,American Academy of Arts and Sciences,1799
Edward Hutchinson Robbins,American Academy of Arts and Sciences,1799
Noah Webster,American Academy of Arts and Sciences,1799
Benjamin DeWitt,American Academy of Arts and Sciences,1800
Samuel Dexter,American Academy of Arts and Sciences,1800
William Falconer,American Academy of Arts and Sciences,1800
William Paterson,American Academy of Arts and Sciences,1801
Samuel Sewall,American Academy of Arts and Sciences,1801
Edward Jenner,American Academy of Arts and Sciences,1802
Timothy Bigelow,American Academy of Arts and Sciences,1803
Oliver Ellsworth,American Academy of Arts and Sciences,1803
William Emerson,American Academy of Arts and Sciences,1803
Abiel Holmes,American Academy of Arts and Sciences,1803
Benard Edward Howard,American Academy of Arts and Sciences,1803
William Petty-Fitzmaurice Lansdowne,American Academy of Arts and Sciences,1803
Allan Pollock,American Academy of Arts and Sciences,1803
Josiah Quincy,American Academy of Arts and Sciences,1803
James Thacher,American Academy of Arts and Sciences,1803
Caspar Wistar,American Academy of Arts and Sciences,1803
David Humphreys,American Academy of Arts and Sciences,1804
John Lowell,American Academy of Arts and Sciences,1804
Joseph Lyman,American Academy of Arts and Sciences,1804
John Marshall,American Academy of Arts and Sciences,1804
Harrison Gray Otis,American Academy of Arts and Sciences,1804
Joshua Thomas,American Academy of Arts and Sciences,1804
Jonathan Trumbull,American Academy of Arts and Sciences,1804
Gustav von Paykull,American Academy of Arts and Sciences,1804
Henry Ware,American Academy of Arts and Sciences,1804
Samuel Williams,American Academy of Arts and Sciences,1804
Aaron Bancroft,American Academy of Arts and Sciences,1805
John Eliot,American Academy of Arts and Sciences,1805
Levi Hedge,American Academy of Arts and Sciences,1805
Rufus King,American Academy of Arts and Sciences,1805
Henry Knox,American Academy of Arts and Sciences,1805
Olof Peter Swartz,American Academy of Arts and Sciences,1805
John Treadwell,American Academy of Arts and Sciences,1805
Benjamin Vaughan,American Academy of Arts and Sciences,1805
Samuel Eliot,American Academy of Arts and Sciences,1806
Thaddeus Mason Harris,American Academy of Arts and Sciences,1806
Daniel Kilham,American Academy of Arts and Sciences,1806
Dudley Atkins Tyng,American Academy of Arts and Sciences,1806
Thomas Thacher,American Academy of Arts and Sciences,1807
Francis Adrian Van der Kemp,American Academy of Arts and Sciences,1807
John Allyn,American Academy of Arts and Sciences,1808
Stephen Elliott,American Academy of Arts and Sciences,1808
