Isaac Lea,Academy of Natural Sciences,1815,Member,Resident
John Lea Jr.,Academy of Natural Sciences,1815,Member,Resident
C. A. Lesueur,Academy of Natural Sciences,1818,Member,Resident
Joshua Longstreth,Academy of Natural Sciences,1815,Member,Resident
Isaiah Lukens,Academy of Natural Sciences,1812,Member,Resident
Camilltis M. Mann,Academy of Natural Sciences,1812,Member,Resident
George A. Madeira,Academy of Natural Sciences,1814,Member,Resident
William Maclure,Academy of Natural Sciences,1812,Member,Resident
Thomas McEuen,Academy of Natural Sciences,1818,Member,Resident
Charles McEuen,Academy of Natural Sciences,1834,Member,Resident
Henry McMurtrie,Academy of Natural Sciences,1833,Member,Resident
James A. McCrea,Academy of Natural Sciences,1833,Member,Resident
John K. Mitchill,Academy of Natural Sciences,1822,Member,Resident
John Millington,Academy of Natural Sciences,1832,Member,Resident
A. F. E. Mickle,Academy of Natural Sciences,1831,Member,Resident
George Mifflin,Academy of Natural Sciences,1835,Member,Resident
Samuel George Morton,Academy of Natural Sciences,1820,Member,Resident
Caspar Morris,Academy of Natural Sciences,1829,Member,Resident
Chevalier Morelli,Academy of Natural Sciences,1836,Member,Resident
Thomas D. Mutter,Academy of Natural Sciences,1833,Member,Resident
"William Norris, Jr.",Academy of Natural Sciences,1830,Member,Resident
George W. Norris,Academy of Natural Sciences,1836,Member,Resident
Thomas Nuttall,Academy of Natural Sciences,1817,Member,Resident
George Ord,Academy of Natural Sciences,1815,Member,Resident
N. S. Parmentier,Academy of Natural Sciences,1812,Member,Resident
R. M. Patterson,Academy of Natural Sciences,1816,Member,Resident
Titian R. Peale,Academy of Natural Sciences,1817,Member,Resident
Rubens Peale,Academy of Natural Sciences,1813,Member,Resident
Jacob Pierce,Academy of Natural Sciences,1813,Member,Resident
Caspar Wistar Pennock,Academy of Natural Sciences,1824,Member,Resident
Robert E. Peterson,Academy of Natural Sciences,1831,Member,Resident
S. S. Penrose,Academy of Natural Sciences,1830,Member,Resident
Robert Pearsall,Academy of Natural Sciences,1835,Member,Resident
John S. Phillips,Academy of Natural Sciences,1836,Member,Resident
Charles Pickering,Academy of Natural Sciences,1827,Member,Resident
Charles A. Poulson,Academy of Natural Sciences,1823,Member,Resident
R. Robinson Porter,Academy of Natural Sciences,1833,Member,Resident
Jonas Preston,Academy of Natural Sciences,1824,Member,Resident
Richard Randolph,Academy of Natural Sciences,1814,Member,Resident
C. S. Rafinesque,Academy of Natural Sciences,1816,Member,Resident
James Read,Academy of Natural Sciences,1824,Member,Resident
M. M. Reeve,Academy of Natural Sciences,1831,Member,Resident
Caleb Richardson,Academy of Natural Sciences,1814,Member,Resident
Edward Florens Rivinus,Academy of Natural Sciences,1834,Member,Resident
Joseph Rotch,Academy of Natural Sciences,1814,Member,Resident
Thomas Rotch,Academy of Natural Sciences,1816,Member,Resident
Henry D. Rogers,Academy of Natural Sciences,1833,Member,Resident
A. S. Roberts,Academy of Natural Sciences,1836,Member,Resident
Thomas Ryan,Academy of Natural Sciences,1836,Member,Resident
Thomas Say,Academy of Natural Sciences,1812,Member,Resident
Benjamin Say,Academy of Natural Sciences,1813,Member,Resident
Henry Seybert,Academy of Natural Sciences,1828,Member,Resident
"John Shinn, Jr.",Academy of Natural Sciences,1812,Member,Resident
Benjamin Shoemaker,Academy of Natural Sciences,1825,Member,Resident
John Simmons,Academy of Natural Sciences,1835,Member,Resident
Samuel Snelling,Academy of Natural Sciences,1836,Member,Resident
Charles W. Smith,Academy of Natural Sciences,1835,Member,Resident
Jacob R. Smith,Academy of Natural Sciences,1815,Member,Resident
Joseph P. Smith,Academy of Natural Sciences,1826,Member,Resident
John C. Smith,Academy of Natural Sciences,1834,Member,Resident
John Speakman,Academy of Natural Sciences,1812,Member,Resident
George Spackman,Academy of Natural Sciences,1825,Member,Resident
Joseph Slouse,Academy of Natural Sciences,1812,Member,Resident
William Stewart,Academy of Natural Sciences,1823,Member,Resident
Thomas Slewardson,Academy of Natural Sciences,1836,Member,Resident
E. B. Siocldoiu,Academy of Natural Sciences,1815,Member,Resident
Daniel Sleinhaur,Academy of Natural Sciences,1829,Member,Resident
Edward Swain,Academy of Natural Sciences,1832,Member,Resident
O. H. Taylor,Academy of Natural Sciences,1832,Member,Resident
J. Edgar Thompson,Academy of Natural Sciences,1831,Member,Resident
John Kirk Townsend,Academy of Natural Sciences,1833,Member,Resident
G. Troost,Academy of Natural Sciences,1812,Member,Resident
James Trudcau,Academy of Natural Sciences,1815,Member,Resident
Frederick Turnpenny,Academy of Natural Sciences,1833,Member,Resident
John B. Tuft,Academy of Natural Sciences,1836,Member,Resident
Lardner Vanuxcm,Academy of Natural Sciences,1815,Member,Resident
John Vaughan,Academy of Natural Sciences,1822,Member,Resident
Robert Vaux,Academy of Natural Sciences,1814,Member,Resident
William S. Vaux,Academy of Natural Sciences,1834,Member,Resident
Benjamin Warner,Academy of Natural Sciences,1814,Member,Resident
F. Waterhoase,Academy of Natural Sciences,1814,Member,Resident
William S. Warder,Academy of Natural Sciences,1814,Member,Resident
William Wagner,Academy of Natural Sciences,1815,Member,Resident
Tobias Wagner,Academy of Natural Sciences,1818,Member,Resident
Joseph Watson,Academy of Natural Sciences,1816,Member,Resident
N. A. Ware,Academy of Natural Sciences,1826,Member,Resident
Thomas T. Walters,Academy of Natural Sciences,1835,Member,Resident
Maxwell Walker,Academy of Natural Sciences,1836,Member,Resident
John Price Wethcrill,Academy of Natural Sciences,1817,Member,Resident
William Wetherill,Academy of Natural Sciences,1824,Member,Resident
Charles Wetherill,Academy of Natural Sciences,1830,Member,Resident
Alexander Wilson,Academy of Natural Sciences,1813,Member,Resident
Thomas B. Wilson,Academy of Natural Sciences,1832,Member,Resident
Richard Wistar,Academy of Natural Sciences,1831,Member,Resident
Joseph Woolens,Academy of Natural Sciences,1815,Member,Resident
William W. Wood,Academy of Natural Sciences,1825,Member,Resident
