James Prinsep,Academy of Natural Sciences,1836,Member,Corresponding
J. B. Quimby,Academy of Natural Sciences,1836,Member,Corresponding
L'Abbate Camillo Ranzani,Academy of Natural Sciences,1827,Member,Corresponding
John Randall,Academy of Natural Sciences,1816,Member,Corresponding
Edmund Ravenel,Academy of Natural Sciences,1832,Member,Corresponding
Henry S. Rennolds,Academy of Natural Sciences,1835,Member,Corresponding
Matthew Rhea,Academy of Natural Sciences,1832,Member,Corresponding
C. G. C. Reinwardt,Academy of Natural Sciences,1821,Member,Corresponding
John L. Riddell,Academy of Natural Sciences,1836,Member,Corresponding
William Riley,Academy of Natural Sciences,1833,Member,Corresponding
M. Alexandre Ricord,Academy of Natural Sciences,1823,Member,Corresponding
M. Philippe Ricord,Academy of Natural Sciences,1823,Member,Corresponding
Mariano de Rivero,Academy of Natural Sciences,1821,Member,Corresponding
M. J. A. Risso,Academy of Natural Sciences,1818,Member,Corresponding
Robert H. Rose,Academy of Natural Sciences,1833,Member,Corresponding
William B. Rodgers,Academy of Natural Sciences,1834,Member,Corresponding
W. S. W. Ruschenberger,Academy of Natural Sciences,1832,Member,Corresponding
Julius Rucco,Academy of Natural Sciences,1820,Member,Corresponding
Edward Ruppel,Academy of Natural Sciences,1830,Member,Corresponding
William Roxburgh,Academy of Natural Sciences,1812,Member,Corresponding
Paolo Savi,Academy of Natural Sciences,1827,Member,Corresponding
Don Ramon de la Sagra,Academy of Natural Sciences,1832,Member,Corresponding
Lewis Saynisch,Academy of Natural Sciences,1836,Member,Corresponding
M. Charles Von Schreibers,Academy of Natural Sciences,1818,Member,Corresponding
Henry R. Schoolcraft,Academy of Natural Sciences,1820,Member,Corresponding
Lewis David Von Schweinitz,Academy of Natural Sciences,1822,Member,Corresponding
Andrew Scott,Academy of Natural Sciences,1815,Member,Corresponding
M. Marcel de Serres,Academy of Natural Sciences,1832,Member,Corresponding
James Sealy,Academy of Natural Sciences,1820,Member,Corresponding
John Shannon,Academy of Natural Sciences,1831,Member,Corresponding
Charles U. Sheppard,Academy of Natural Sciences,1828,Member,Corresponding
Charles W. Short,Academy of Natural Sciences,1831,Member,Corresponding
Howard Sims,Academy of Natural Sciences,1817,Member,Corresponding
Benjamin Silliman,Academy of Natural Sciences,1817,Member,Corresponding
William Southern,Academy of Natural Sciences,1812,Member,Corresponding
Alexander H. Stevens,Academy of Natural Sciences,1819,Member,Corresponding
Gaspard Comte de Sternberg,Academy of Natural Sciences,1821,Member,Corresponding
Henry Steinhaur,Academy of Natural Sciences,1817,Member,Corresponding
M. Henri Von Struve,Academy of Natural Sciences,1822,Member,Corresponding
John Styles,Academy of Natural Sciences,1834,Member,Corresponding
Charles Tail,Academy of Natural Sciences,1832,Member,Corresponding
Richard C. Taylor,Academy of Natural Sciences,1833,Member,Corresponding
Conrad Jacob Temminck,Academy of Natural Sciences,1824,Member,Corresponding
E. Thomas,Academy of Natural Sciences,1816,Member,Corresponding
William Thornton,Academy of Natural Sciences,1812,Member,Corresponding
Joseph Tilden,Academy of Natural Sciences,1812,Member,Corresponding
Allen Thompson,Academy of Natural Sciences,1834,Member,Corresponding
John Torrey,Academy of Natural Sciences,1822,Member,Corresponding
Joseph G. Totten,Academy of Natural Sciences,1830,Member,Corresponding
B. Troost,Academy of Natural Sciences,1814,Member,Corresponding
John Travers,Academy of Natural Sciences,1815,Member,Corresponding
John S. Trescott,Academy of Natural Sciences,1818,Member,Corresponding
Thomas Stewart Traill,Academy of Natural Sciences,1835,Member,Corresponding
James Trimble,Academy of Natural Sciences,1836,Member,Corresponding
Trinius,Academy of Natural Sciences,1836,Member,Corresponding
John Turner,Academy of Natural Sciences,1814,Member,Corresponding
Andrew Ure,Academy of Natural Sciences,1829,Member,Corresponding
M. Vauquelin,Academy of Natural Sciences,1818,Member,Corresponding
Don Jose Maria Vargas,Academy of Natural Sciences,1835,Member,Corresponding
Stephen Van Rensselaer,Academy of Natural Sciences,1833,Member,Corresponding
Jer. Van Rensselaer,Academy of Natural Sciences,1829,Member,Corresponding
Philippe Louis Voltz,Academy of Natural Sciences,1833,Member,Corresponding
Malthus A. Ward,Academy of Natural Sciences,1832,Member,Corresponding
Samuel R. Wetherill,Academy of Natural Sciences,1814,Member,Corresponding
C. R. G. Weidemann,Academy of Natural Sciences,1823,Member,Corresponding
John W. Webster,Academy of Natural Sciences,1814,Member,Corresponding
Joseph Wheelwright,Academy of Natural Sciences,1814,Member,Corresponding
Charles J. Wister,Academy of Natural Sciences,1814,Member,Corresponding
Adam Winthrop,Academy of Natural Sciences,1835,Member,Corresponding
Maximilian,Academy of Natural Sciences,1834,Member,Corresponding
Joseph Worth,Academy of Natural Sciences,1823,Member,Corresponding
J. Wright,Academy of Natural Sciences,1829,Member,Corresponding
Thomas J. Wray,Academy of Natural Sciences,1818,Member,Corresponding
William Yarrell,Academy of Natural Sciences,1829,Member,Corresponding
Chr. Zimmerman,Academy of Natural Sciences,1836,Member,Corresponding
William Zollikoffer,Academy of Natural Sciences,1834,Member,Corresponding
